generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.032,0,0.005,0
10000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.310095,-0.0354279,0.0650396,0
10000,Allodesmus_demerei,Allodesmus_packardi,10.8967,0.238659,-0.0108023,0.17565,0
10000,Odobenus_rosmarus,Pontolis_magnus,17.7397,0.52507,0.0147766,0.347542,0
20000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.522067,-0.0674618,0.14318,0
20000,Pusa_caspica,Cystophora_cristata,15.1533,0.163811,0.0206291,0.00391265,0
20000,Arctocephalus_australis,Zalophus_californianus,20.3934,0.282593,-0.0129843,0.0295518,0
20000,Odobenus_rosmarus,Pontolis_magnus,17.9118,0.490764,0.00895558,0.491717,0
30000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.444261,-0.0695,0.11415,0
30000,Arctocephalus_australis,Thalassoleon_inouei,16.7866,0.296568,0.000487389,0.0605881,0
30000,Odobenus_rosmarus,Pontolis_magnus,18.2903,0.586923,-0.0137695,0.497804,0
40000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.174714,-0.0169007,0.100177,0
40000,Allodesmus_demerei,Atopotarus_courseni,10.2151,0.141406,0.0328003,0.258459,0
40000,Arctocephalus_australis,Zalophus_californianus,20.4794,0.338316,0.000844457,0.0269674,0
40000,Odobenus_rosmarus,Prototaria_primigena,10.2139,0.679956,-0.0885882,0.415606,0
50000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.362081,-0.0450117,0.10903,0
50000,Odobenus_rosmarus,Pontolis_magnus,17.786,0.582812,0.00828775,0.56396,0
60000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.522618,-0.0727372,0.145666,0
60000,Pusa_caspica,Cystophora_cristata,17.347,0.165795,0.0151226,0.0189178,0
60000,Arctocephalus_australis,Pithanotaria_starri,15.3701,0.206263,-0.0146167,0.0754494,0
60000,Odobenus_rosmarus,Pontolis_magnus,18.4964,0.692315,0.00331165,0.531338,0
