generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,0.315486,-3343.78,2,0.1,0
10000,2,1.84539,-718.369,1.62482,2.05007,0.378
20000,3,1.78193,-703.415,2.2695,2.18335,0.437
30000,2,0.00525283,-714.765,2.18838,2.03348,0.39725
40000,3,0.263292,-713.028,2.76413,2.04389,0.418
50000,1,0.33097,-719.042,0.33734,2.27774,0.3348
60000,3,0.616951,-707.525,3.62514,2.07958,0.407
70000,1,1.4187,-718.205,0.344705,2.16571,0.3995
80000,1,-0.447568,-716.698,3.91919,2.14577,0.399923
90000,1,-0.173237,-720.34,1.78205,2.12512,0.380875
100000,2,-0.316883,-710.773,2.88138,2.10028,0.401
110000,1,-0.399334,-718.035,0.948689,2.14805,0.431
120000,1,0.143207,-718.54,0.901282,2.16753,0.39275
130000,1,1.75811,-719.149,1.85914,2.10296,0.345364
140000,1,0.458996,-718.766,1.81973,2.0808,0.244125
150000,3,2.74738,-707.573,0.831998,2.18618,0.444
160000,1,1.70157,-716.519,0.29095,2.10789,0.381
170000,0,-0.242453,-721.949,1.05603,2.10576,0.211
180000,0,-0.611626,-722.895,1.05706,2.12055,0.359
190000,2,1.38745,-714.647,1.53584,2.06899,0.386
200000,4,2.31099,-703.774,2.06674,2.1397,0.37665
210000,0,-0.163411,-722.182,1.36241,2.07275,0.207
220000,2,-0.168708,-714.22,2.33879,2.19801,0.396833
230000,1,-0.502502,-720.623,2.23555,2.16399,0.3685
240000,1,1.95273,-717.359,0.383793,2.12005,0.331455
250000,3,0.102102,-716.622,2.52594,2.0944,0.403
260000,1,0.363748,-718.9,0.186983,1.97452,0.257
270000,2,-0.181679,-714.281,1.98545,2.03653,0.412
280000,1,0.830481,-716.328,0.632669,2.11183,0.395
290000,1,-1.47626,-715.31,1.15867,2.0986,0.3868
300000,4,-0.323309,-712.234,1.91962,1.9964,0.418
310000,2,-0.236979,-710.167,2.54806,2.1481,0.399
320000,1,0.453593,-716.087,1.79363,2.06945,0.371
