"","node","state","proportion","model"
"1",121,"ADH",0.176478221406987,"DEC_all"
"2",121,"ADHI",0.116942617794964,"DEC_all"
"3",121,"ADEH",0.116928739542484,"DEC_all"
"4",121,"ACDH",0.116928711074273,"DEC_all"
"5",121,"ABDH",0.116928632786695,"DEC_all"
"6",130,"A",0.984935526353322,"DEC_all"
"7",130,"AI",0.00775852057970997,"DEC_all"
"8",130,"AD",0.00671507496555547,"DEC_all"
"9",130,"AE",0.000128375700036321,"DEC_all"
"10",130,"ADI",0.000122098041658305,"DEC_all"
"11",131,"A",0.37186342252391,"DEC_all"
"12",131,"AI",0.291018650352875,"DEC_all"
"13",131,"AD",0.23953828861617,"DEC_all"
"14",131,"ADI",0.0813591780878061,"DEC_all"
"15",131,"AE",0.00218760643415009,"DEC_all"
"16",132,"DI",0.312086419970606,"DEC_all"
"17",132,"AD",0.179513486954789,"DEC_all"
"18",132,"I",0.177175477035542,"DEC_all"
"19",132,"ADI",0.117890440356073,"DEC_all"
"20",132,"D",0.105887110634042,"DEC_all"
"21",133,"D",0.425374699038257,"DEC_all"
"22",133,"DI",0.331021838250691,"DEC_all"
"23",133,"I",0.095873084452145,"DEC_all"
"24",133,"ADI",0.0720416529762505,"DEC_all"
"25",133,"AD",0.0340063558287283,"DEC_all"
"26",186,"A",0.995775912974118,"DEC_all"
"27",186,"AI",0.000602723232752574,"DEC_all"
"28",186,"AD",0.000602344868316255,"DEC_all"
"29",186,"AC",0.000597821283736632,"DEC_all"
"30",186,"AF",0.000597724086346059,"DEC_all"
"31",121,"AD",0.323423023855724,"DECJ_all"
"32",121,"DH",0.321973503995314,"DECJ_all"
"33",121,"D",0.0503436564354224,"DECJ_all"
"34",121,"ADH",0.0449693918742548,"DECJ_all"
"35",121,"A",0.0257353036668504,"DECJ_all"
"36",130,"A",0.997035526490213,"DECJ_all"
"37",130,"AI",0.00160446456521787,"DECJ_all"
"38",130,"AD",0.0010451189638893,"DECJ_all"
"39",130,"I",0.000164250754968765,"DECJ_all"
"40",130,"D",0.000100527160942204,"DECJ_all"
"41",131,"A",0.900641271392207,"DECJ_all"
"42",131,"AI",0.0483413855429222,"DECJ_all"
"43",131,"AD",0.0290900448745325,"DECJ_all"
"44",131,"I",0.00898560457623979,"DECJ_all"
"45",131,"ADI",0.00669628129906443,"DECJ_all"
"46",132,"I",0.500091222684365,"DECJ_all"
"47",132,"D",0.255990489157772,"DECJ_all"
"48",132,"DI",0.218531123310785,"DECJ_all"
"49",132,"A",0.0144056772096006,"DECJ_all"
"50",132,"AI",0.00269737026373979,"DECJ_all"
"51",133,"D",0.564842200285925,"DECJ_all"
"52",133,"DI",0.245529651089526,"DECJ_all"
"53",133,"I",0.182037900695161,"DECJ_all"
"54",133,"ADI",0.00182655169229003,"DECJ_all"
"55",133,"AD",0.00139084695581687,"DECJ_all"
"56",186,"A",0.999216767914786,"DECJ_all"
"57",186,"AI",0.000112705052380461,"DECJ_all"
"58",186,"AD",0.000112315051215527,"DECJ_all"
"59",186,"AC",0.000111603691190355,"DECJ_all"
"60",186,"AB",0.000111337804615987,"DECJ_all"
"61",86,"ADH",0.187445370629148,"DEC_fossil"
"62",86,"ADHI",0.120624099320329,"DEC_fossil"
"63",86,"ADEH",0.120579961919787,"DEC_fossil"
"64",86,"ACDH",0.120579911863194,"DEC_fossil"
"65",86,"ABDH",0.120579423811416,"DEC_fossil"
"66",95,"A",0.981475131590591,"DEC_fossil"
"67",95,"AI",0.00979894399990229,"DEC_fossil"
"68",95,"AD",0.00800111296740664,"DEC_fossil"
"69",95,"ADI",0.000191241517266048,"DEC_fossil"
"70",95,"AE",0.000183374646420208,"DEC_fossil"
"71",96,"AI",0.34317118381451,"DEC_fossil"
"72",96,"A",0.256689738040466,"DEC_fossil"
"73",96,"AD",0.255947309675723,"DEC_fossil"
"74",96,"ADI",0.122863368393777,"DEC_fossil"
"75",96,"AE",0.00311522160715822,"DEC_fossil"
"76",97,"DI",0.450966572754224,"DEC_fossil"
"77",97,"I",0.170893858767053,"DEC_fossil"
"78",97,"AD",0.114880542434338,"DEC_fossil"
"79",97,"ADI",0.103640672031962,"DEC_fossil"
"80",97,"D",0.0714128499015171,"DEC_fossil"
"81",98,"DI",0.472901207583663,"DEC_fossil"
"82",98,"D",0.347823576492149,"DEC_fossil"
"83",98,"ADI",0.0721545877148013,"DEC_fossil"
"84",98,"I",0.0336875972722158,"DEC_fossil"
"85",98,"AD",0.0237486400022573,"DEC_fossil"
"86",133,"A",0.998053629698264,"DEC_fossil"
"87",133,"AI",0.000278988972029863,"DEC_fossil"
"88",133,"AD",0.000278868034756407,"DEC_fossil"
"89",133,"AC",0.000276800082946981,"DEC_fossil"
"90",133,"AB",0.000276608248755027,"DEC_fossil"
"91",86,"DH",0.239081582486497,"DECJ_fossil"
"92",86,"AD",0.238757267500756,"DECJ_fossil"
