generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,1.00863,-3343.78,1,0.1,0
10000,1,1.23581,-716.612,0.645496,2.17644,0.365
20000,1,-2.18076,-716.448,1.28393,2.22812,0.401333
30000,2,-0.261726,-711.87,1.25312,2.05815,0.394
40000,1,1.85387,-717.596,0.112687,2.09855,0.402
50000,1,-0.882341,-717.048,1.67628,2.09641,0.315
60000,1,0.840219,-717.581,0.607951,2.11039,0.314333
70000,3,3.27976,-709.388,0.918428,2.17267,0.435
80000,1,1.49635,-718.392,0.657808,2.07499,0.381867
90000,2,-1.32485,-719.398,0.789457,2.08599,0.3885
100000,1,-0.171133,-715.14,1.66179,2.07301,0.353
110000,1,0.0519692,-715.27,1.01424,2.14106,0.429
120000,1,0.933263,-717.34,0.743742,2.09598,0.36475
130000,1,1.8429,-719.107,0.86203,2.17675,0.351121
140000,2,-3.34069,-711.581,2.27252,2.04969,0.422125
150000,2,-0.347193,-711.029,1.07805,2.03284,0.384
160000,0,0.598899,-723.37,0.906401,2.17925,0.399
170000,1,-1.95475,-715.823,0.453919,2.00949,0.388
180000,0,1.3701,-723.134,0.0190068,2.20628,0.222
190000,2,-0.487776,-715.914,2.78931,2.13704,0.388
200000,2,4.40173,-710.567,0.446002,2.08106,0.37695
210000,2,1.67309,-712.39,1.38629,2.12431,0.332
220000,1,0.338248,-716.204,1.15702,2.07632,0.322583
230000,1,0.853892,-716.465,0.829752,2.09719,0.3885
240000,1,1.09132,-717.579,0.563595,2.02798,0.373455
250000,2,-0.0134091,-717.18,1.49044,2.1791,0.318
260000,2,0.446666,-716.299,3.71585,2.0706,0.373
270000,2,2.69187,-713.592,0.853057,2.1156,0.389
280000,5,6.6397,-705.273,1.51732,2.19103,0.452
290000,1,0.519985,-718.083,1.00513,2.20424,0.383625
300000,3,-1.12392,-710.824,2.16284,2.04447,0.416091
310000,1,1.23811,-717.671,0.144245,2.06083,0.364
320000,3,-4.05088,-708.928,3.81483,2.07559,0.433
330000,1,0.0570707,-714.793,0.104342,2.10082,0.321333
340000,1,0.262288,-717.075,2.0527,2.15814,0.391
350000,1,-1.84625,-718.612,1.75797,2.05176,0.339
360000,1,0.817285,-722.745,1.69388,2.00566,0.267333
370000,1,0.565435,-715.497,1.03507,2.15149,0.341
380000,1,1.16178,-719.132,0.741429,2.13622,0.3705
390000,2,3.16789,-712.986,0.522896,2.12344,0.383
