generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.032,0,0.005,0
10000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.328096,-0.0402278,0.0872828,0
10000,Odobenus_rosmarus,Pontolis_magnus,17.1849,0.396738,-0.0107944,0.395391,0
20000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.298981,-0.0337186,0.114488,0
20000,Odobenus_rosmarus,Pontolis_magnus,18.3917,0.986567,-0.082075,0.405087,0
30000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.378997,-0.0569645,0.130078,0
30000,Pusa_caspica,Histriophoca_fasciata,22.262,0.198365,0.0080474,0.0109303,0
30000,Odobenus_rosmarus,Pontolis_magnus,18.8722,0.502392,-0.0724366,0.552986,0
40000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.275456,-0.0193396,0.122419,0
40000,Odobenus_rosmarus,Pseudotaria_muramotoi,12.1486,0.488706,-0.0346292,0.296534,0
50000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.441447,-0.0626592,0.100989,0
50000,Odobenus_rosmarus,Pontolis_magnus,18.7232,0.498822,0.00280769,0.446073,0
60000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.400214,-0.0468466,0.0961552,0
60000,Odobenus_rosmarus,Titanotaria_orangensis,15.0302,0.324737,-0.0289803,0.402199,0
70000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.298398,-0.0309946,0.163786,0
70000,Pusa_caspica,Cystophora_cristata,15.2685,0.230737,0.0500406,0.000716557,0
70000,Arctocephalus_australis,Callorhinus_ursinus,19.5863,0.238715,-0.00753395,0.0460283,0
70000,Odobenus_rosmarus,Pontolis_magnus,17.914,0.763341,-0.00239604,0.349227,0
80000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.304841,-0.029341,0.138778,0
80000,Odobenus_rosmarus,Prototaria_primigena,10.5995,0.236349,0.0326803,0.288864,0
90000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.225599,-0.0170569,0.127568,0
90000,Odobenus_rosmarus,Pontolis_kohnoi,20.3766,0.465902,-0.000317052,0.307356,0
90000,Odobenus_rosmarus,Imagotaria_downsi,19.4265,1.21617,0.0166836,2.32517,0
100000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.393495,-0.0488592,0.117655,0
100000,Odobenus_rosmarus,Pontolis_magnus,18.9919,0.430466,-0.0138101,0.354445,0
110000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.366363,-0.0393244,0.122674,0
110000,Odobenus_rosmarus,Pontolis_magnus,17.664,0.402786,-0.0509527,0.353997,0
120000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.298027,-0.0283677,0.12978,0
120000,Odobenus_rosmarus,Osodobenus_eodon,21.4294,0.291654,-0.0455896,0.374608,0
130000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.439468,-0.0248248,0.210437,0
130000,Hydrurga_leptonyx,Pusa_caspica,6.92203,0.128296,0.0072591,0.0818526,0
140000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.25132,-0.0439249,0.134974,0
140000,Arctocephalus_australis,Zalophus_californianus,20.0913,0.629855,-0.108904,0.0242946,0
140000,Odobenus_rosmarus,Pontolis_magnus,18.1564,0.414947,-0.0218085,0.499981,0
150000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.338285,-0.0451366,0.135622,0
150000,Arctocephalus_australis,Callorhinus_gilmorei,19.1188,0.436045,-0.0847176,0.0422612,0
150000,Odobenus_rosmarus,Pelagiarctos_sp_SDNHM_131041,13.6269,0.45348,-0.0199607,0.315617,0
160000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.237049,-0.0100781,0.136438,0
170000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.295313,-0.0315627,0.116434,0
170000,Odobenus_rosmarus,Pontolis_magnus,18.3647,0.558223,-0.0992094,0.596788,0
180000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.267057,-0.0184298,0.135635,0
190000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.327753,-0.0396022,0.112485,0
190000,Pusa_caspica,Kawas_benegasorum,9.53124,0.117336,0.00977534,0.0320791,0
190000,Odobenus_rosmarus,Pseudotaria_muramotoi,13.014,0.599751,-0.0558278,0.501534,0
200000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.257844,-0.00715901,0.209839,0
200000,Hydrurga_leptonyx,Pusa_caspica,7.04015,0.12405,0.00840229,0.0440746,0
200000,Arctocephalus_australis,cf_Thalassoleon,11.3801,0.167728,0.0175313,0.0518542,0
210000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.228871,-0.0135335,0.214466,0
