generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
1050000,5,-1.14957,-802.134,11.2405,2.01287,0.4255
1060000,12,3.4523,-793.396,12.244,2.11792,0.427
1070000,5,1.61874,-801.072,5.49813,2.1301,0.424
1080000,4,-6.91593,-798.965,1.75174,1.97348,0.429667
1090000,3,-0.653399,-807.565,2.93607,2.09603,0.418364
1100000,4,-1.207,-806.764,5.9775,2.12549,0.419
1110000,3,-0.511992,-808.497,3.66075,1.9585,0.359
1120000,6,3.94124,-805.671,7.69882,2.01506,0.428
1130000,6,-5.46248,-797.335,4.59727,2.221,0.42875
1140000,4,-0.766631,-803.055,2.72452,2.04771,0.352833
1150000,4,-0.750077,-799.159,5.73222,2.05182,0.448
1160000,2,-3.00157,-812.426,1.98306,2.06297,0.382
1170000,2,-3.51763,-811.925,3.61724,2.04354,0.397421
1180000,3,-4.12908,-810.483,3.39576,1.99885,0.368
1190000,1,-1.96414,-815.051,2.46511,1.99489,0.346
1200000,3,1.33943,-808.603,1.88005,2.0366,0.37
1210000,2,-1.72747,-812.469,1.75203,1.97053,0.388571
1220000,5,1.86439,-796.51,3.45574,2.12801,0.394667
1230000,3,-1.28979,-801.327,5.87189,2.05209,0.443
1240000,3,0.0904508,-807.22,1.5431,2.25368,0.41
1250000,4,1.71782,-798.455,4.08386,2.02135,0.441
1260000,3,-6.27549,-806.144,2.40967,2.03021,0.411667
1270000,6,1.32464,-806.32,7.45266,2.22714,0.407333
1280000,2,-0.942162,-809.678,3.30003,2.15109,0.391
1290000,5,-1.05234,-797.649,4.58252,2.04614,0.413
1300000,2,-0.401603,-817.946,2.41705,2.18019,0.402
1310000,4,-0.746742,-801.352,6.93111,2.04614,0.419
1320000,5,-0.315805,-800.283,5.84836,2.00356,0.4064
1330000,6,-0.0994669,-790.765,8.25735,1.98836,0.387
1340000,2,-2.3205,-808.768,2.15241,2.10482,0.4335
1350000,7,-2.14631,-789.848,4.11386,2.14904,0.3946
1360000,2,-0.210289,-808.639,0.76143,1.94615,0.389
