generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
1040000,1,2.32308,-812.213,0.0211885,2.04892,0.3495
1050000,1,4.49929,-812.04,0.00753622,2.13492,0.353318
1060000,1,4.51645,-814.117,0.0176122,2.02122,0.34
1070000,1,3.73825,-813.233,0.00446597,2.02468,0.3405
1080000,1,-0.61142,-814.611,0.0556351,2.02685,0.3509
1090000,1,3.85892,-813.066,0.0105901,2.0868,0.317
1100000,1,1.84325,-811.391,0.0220374,2.0783,0.3765
1110000,1,2.94632,-813.866,0.0123724,1.96407,0.354
1120000,1,1.84937,-810.736,0.0340715,2.07242,0.343214
1130000,1,3.50746,-812.838,0.00574371,2.0066,0.349
1140000,1,1.19377,-814.719,0.0227141,2.07172,0.357
1150000,1,5.65334,-813.886,0.00386131,2.1919,0.323
1160000,1,4.29237,-813.566,0.00141069,2.10474,0.342
1170000,1,4.48102,-812.689,0.00457837,2.02233,0.349
1180000,1,2.85385,-812.084,0.0189201,1.97257,0.342
1190000,1,3.74818,-813.527,0.00665708,2.16444,0.347
1200000,1,1.73047,-812.169,0.0271045,2.02336,0.353
1210000,1,3.34078,-812.079,0.00883405,2.02846,0.341929
1220000,1,2.22915,-813.879,0.0269343,1.95461,0.365
1230000,1,1.5826,-809.844,0.00835052,2.10401,0.375
1240000,1,3.936,-819.209,0.00282668,2.04562,0.367
1250000,1,3.34022,-811.843,0.0107656,2.01951,0.3445
1260000,1,5.15334,-814.757,0.00297015,2.03845,0.362
1270000,1,1.37601,-810.923,0.0217925,2.10618,0.326
1280000,1,3.34223,-819.881,0.0264672,1.98919,0.3405
1290000,1,4.66796,-813.765,0.00711917,2.18692,0.38
1300000,1,4.14434,-814.722,0.00833401,2.12017,0.325
1310000,1,3.97655,-813.389,0.0205013,2.00301,0.36
1320000,1,3.55625,-817.06,0.0266626,2.0224,0.348667
1330000,1,3.66889,-814.089,0.0035228,2.07842,0.339
1340000,1,4.38764,-813.685,0.00624507,2.06171,0.336
1350000,1,4.44383,-811.324,0.0159775,2.03697,0.373
1360000,1,4.44495,-811.759,0.00555354,2.15326,0.36
1370000,1,-0.142748,-811.59,0.0506398,2.07483,0.357
1380000,1,0.777028,-811.454,0.0149044,2.10427,0.344857
1390000,1,5.68868,-815.604,0.00195194,2.01775,0.321
1400000,1,2.16456,-814.531,0.0321034,2.02252,0.3196
1410000,1,2.60517,-812.9,0.0146489,1.96637,0.335273
1420000,1,3.01792,-811.699,0.0291334,2.14668,0.341
1430000,1,2.88992,-814.585,0.0179953,2.01291,0.335
1440000,1,2.51158,-810.466,0.0211442,2.10156,0.351
1450000,0,4.5184,-826.256,0.00617909,2.01848,0.192
1460000,1,4.56705,-814.735,0.0187237,1.97447,0.379
1470000,1,3.40089,-812.363,0.0134175,2.0397,0.335
1480000,1,6.03048,-812.333,0.000483899,2.10216,0.372
1490000,1,3.88095,-812.036,0.0142543,2.00615,0.335
