generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.032,0,0.005,0
10000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.318478,-0.0236555,0.127425,0
10000,Valenictus_chulavistensis,Pontolis_magnus,18.6318,0.733502,-0.0196601,0.561301,0
20000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.485054,-0.0489898,0.165026,0
20000,Valenictus_chulavistensis,Pontolis_magnus,19.2899,0.910969,-0.0114975,0.888455,0
30000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.386508,-0.0326657,0.176882,0
30000,Valenictus_chulavistensis,Imagotaria_downsi,19.5547,0.739344,-0.00380376,0.454871,0
40000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.483999,-0.0556902,0.148771,0
40000,Valenictus_chulavistensis,Imagotaria_downsi,19.4272,0.743377,0.0238633,0.874666,0
50000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.371499,-0.0400705,0.177376,0
50000,Valenictus_chulavistensis,Pontolis_barroni,20.2667,0.671908,-0.0257317,0.811491,0
60000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.516137,-0.0434922,0.173895,0
60000,Valenictus_chulavistensis,Pontolis_magnus,17.9325,0.844117,-0.0221608,0.757934,0
70000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.426601,-0.0393242,0.133505,0
70000,Valenictus_chulavistensis,Pontolis_magnus,17.2755,0.536647,-0.0282682,0.519698,0
80000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.385693,-0.0249905,0.188217,0
80000,Valenictus_chulavistensis,Pontolis_barroni,19.8027,0.629565,-0.0492148,0.590793,0
90000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.433828,-0.0417806,0.141753,0
90000,Valenictus_chulavistensis,Pontolis_magnus,19.014,0.59301,-0.01748,0.745658,0
100000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.406248,-0.0333954,0.152144,0
100000,Valenictus_chulavistensis,Pontolis_magnus,19.2765,0.621291,-0.0714602,0.834821,0
110000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.382646,-0.0377317,0.153396,0
110000,Valenictus_chulavistensis,Pontolis_magnus,18.6611,1.10605,-0.0186301,0.565692,0
120000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.442721,-0.0389766,0.157537,0
120000,Valenictus_chulavistensis,Imagotaria_downsi,19.5075,0.373019,-0.000409974,0.575877,0
130000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.329582,-0.0215499,0.168841,0
130000,Valenictus_chulavistensis,Pontolis_magnus,18.7452,0.877557,-0.0102217,0.586045,0
140000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.418976,-0.0492416,0.151244,0
140000,Valenictus_chulavistensis,Pontolis_magnus,18.7037,1.30512,-0.0338855,0.778802,0
150000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.328765,-0.0245867,0.180006,0
150000,Valenictus_chulavistensis,Pontolis_magnus,18.308,0.567535,0.0177389,0.825193,0
160000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.496122,-0.0532898,0.160262,0
160000,Valenictus_chulavistensis,Pontolis_magnus,18.7442,0.991187,0.0107824,0.872141,0
170000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.350252,-0.0237678,0.159445,0
170000,Valenictus_chulavistensis,Pontolis_magnus,18.0145,0.998304,-0.0191082,0.631319,0
180000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.406031,-0.0458211,0.152248,0
180000,Valenictus_chulavistensis,Pelagiarctos_sp_SDNHM_131041,13.2968,0.482896,0.0142445,0.451622,0
190000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.364751,-0.0394779,0.160329,0
190000,Valenictus_chulavistensis,Pontolis_magnus,19.3107,0.850722,-0.0620672,0.681347,0
