generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,3.41921,-3514.54,0.1,0.1,0
10000,1,-0.159919,-818.159,0.425359,2.12387,0.336
20000,1,1.50492,-816.175,0.0259829,2.13498,0.341667
30000,1,-0.46384,-817.67,0.421244,2.09363,0.363
40000,1,0.578195,-811.992,0.141061,2.03187,0.356857
50000,2,3.80989,-808.292,0.114808,2.15267,0.362923
60000,1,2.25162,-812.153,0.0283794,2.02172,0.355
70000,1,0.0974204,-811.67,0.21199,2.13986,0.343
80000,1,-0.232807,-812.108,0.40173,2.0277,0.335
90000,1,2.05931,-811.336,0.0995326,2.03249,0.363
100000,2,1.38019,-808.545,0.380089,1.95987,0.35025
110000,1,1.35123,-810.604,0.207683,2.08609,0.332
120000,1,2.37222,-811.522,0.0595718,2.09707,0.352
130000,1,1.22938,-813.833,0.317857,2.04373,0.313
140000,1,-0.463575,-814.539,0.335312,2.08484,0.34
150000,2,3.48863,-810.89,0.116182,1.94379,0.344
160000,1,1.14732,-813.405,0.190388,2.09282,0.325
170000,1,1.95961,-810.689,0.115685,2.1317,0.35
180000,1,1.27196,-812.792,0.125713,2.13733,0.356
190000,2,0.983232,-805.238,0.10805,2.0609,0.349
200000,1,0.99622,-813.483,0.141297,2.20076,0.323667
210000,2,2.52938,-808.749,0.152288,2.08828,0.345714
220000,3,-0.160626,-800.922,0.552081,2.12759,0.373867
230000,1,0.474928,-813.675,0.29153,2.12074,0.335
240000,1,0.204373,-813.428,0.269923,2.12063,0.341
250000,1,-1.82047,-812.472,0.421721,2.01779,0.339
260000,1,2.73365,-816.315,0.0271224,2.0181,0.358
270000,1,0.837018,-814.152,0.177715,2.07959,0.343
280000,1,0.877283,-814.076,0.181744,2.1187,0.358913
290000,3,1.13219,-804.912,0.0788969,2.1004,0.43
300000,1,1.18618,-812.33,0.107964,2.148,0.3532
310000,1,-1.10926,-813.482,0.264555,2.0546,0.348
320000,2,2.27047,-810.955,0.187904,1.96616,0.359
330000,1,2.34867,-811.995,0.0354736,2.07067,0.35
340000,1,-0.292993,-813.905,0.0639547,2.17567,0.3435
350000,2,2.62285,-814.142,0.185938,1.98194,0.312
360000,1,1.95795,-814.997,0.130858,2.02181,0.355333
370000,2,2.21198,-806.513,0.276858,1.98975,0.37
380000,1,-1.03883,-811.16,0.260039,2.05807,0.34125
390000,1,2.1307,-813.746,0.0152777,2.11363,0.35475
400000,1,2.80172,-811.593,0.0748091,2.009,0.35375
410000,2,3.16491,-806.207,0.114681,2.11868,0.3498
