generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,1.11662,-3514.54,1,0.1,0
10000,1,-0.855724,-817.197,2.33179,1.98423,0.336
20000,1,-0.573937,-812.157,0.113418,2.12235,0.371
30000,4,-2.11172,-798.549,3.20219,2.12027,0.376
40000,4,-2.99293,-803.08,1.24158,2.04041,0.416286
50000,3,2.06222,-800.005,0.757861,2.15265,0.376769
60000,3,1.77352,-812.97,1.30349,2.01505,0.424
70000,4,-0.74514,-801.344,3.84538,2.13977,0.412
80000,1,-0.741359,-812.306,2.28555,2.00115,0.334
90000,4,-2.56443,-800.233,4.02323,2.08345,0.402
100000,4,-1.68308,-805.521,3.71009,2.1805,0.385
110000,3,2.40645,-809.797,1.08065,2.09199,0.42
120000,1,-0.256537,-811.784,0.189439,2.09557,0.359
130000,5,3.36087,-805.01,1.79543,2.14259,0.414333
140000,1,-1.127,-812.915,1.79701,2.06526,0.354
150000,2,1.46216,-815.971,0.921664,2.01862,0.325
160000,3,-3.50166,-804.078,3.76924,2.14137,0.355286
170000,4,3.04957,-795.304,1.13299,2.12801,0.412
180000,1,-2.41727,-812.98,1.76075,2.07149,0.365
190000,2,-5.19276,-809.057,4.40404,2.06725,0.356
200000,3,0.11343,-806.942,3.16752,2.00495,0.406
210000,3,-0.825893,-798.916,2.01937,2.0858,0.3975
220000,3,-4.75956,-804.627,2.07317,2.03735,0.362
230000,1,-2.84607,-819.901,1.17366,2.02043,0.3475
240000,1,-0.197137,-812.863,0.592357,2.10337,0.342
250000,1,-1.2936,-811.006,0.430248,2.11586,0.381667
260000,2,1.62136,-809.589,0.306036,2.02316,0.399333
270000,2,-2.11751,-809.395,1.45705,2.01358,0.378
280000,4,-0.482082,-802.037,4.6615,2.09098,0.401
290000,3,-0.991432,-801.484,1.16524,2.10456,0.3938
300000,3,-1.45226,-799.294,2.26558,2.10872,0.379
310000,6,2.5276,-794.638,2.20309,2.0704,0.388
