generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.032,0,0.005,0
10000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.314144,-0.030273,0.126345,0
10000,Valenictus_chulavistensis,Pontolis_magnus,17.3,0.817891,0.0134162,0.444004,0
20000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.477037,-0.0496458,0.150946,0
20000,Valenictus_chulavistensis,Pontolis_magnus,18.4142,0.430039,0.0677948,0.678402,0
30000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.508624,-0.0711251,0.163456,0
30000,Hydrurga_leptonyx,Homiphoca_capensis,15.1972,0.412899,-0.0763414,0.12496,0
30000,Pusa_caspica,Cystophora_cristata,15.5053,0.456608,-0.0787973,0.0072446,0
30000,Arctocephalus_australis,Neophoca_palatina,19.8121,0.16307,0.0251138,0.0370902,0
30000,Valenictus_chulavistensis,Pelagiarctos_sp_SDNHM_131041,13.5555,0.417649,0.0176214,0.452784,0
40000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.630025,-0.0687177,0.168684,0
40000,Pusa_caspica,Phoca_largha,22.4285,0.266388,0.03106,0.156895,0
40000,Arctocephalus_australis,Zalophus_californianus,20.0999,0.440933,-0.0674963,0.00574796,0
40000,Pusa_caspica,Cystophora_cristata,17.9174,0.21074,-0.0173538,0.186513,0
40000,Valenictus_chulavistensis,Pontolis_magnus,18.757,1.09649,-0.108574,0.584199,0
50000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.476419,-0.0551399,0.163023,0
50000,Pusa_caspica,Cystophora_cristata,19.1471,0.261982,0.0272632,0.0392439,0
50000,Arctocephalus_australis,Zalophus_californianus,20.3702,0.281649,-0.0196296,0.0623149,0
50000,Valenictus_chulavistensis,Pontolis_magnus,18.749,1.00109,-0.0195405,0.704507,0
60000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.662245,-0.0501092,0.20392,0
60000,Pusa_caspica,Cystophora_cristata,19.5976,0.129295,-0.0209666,0.00858136,0
60000,Pusa_caspica,Cystophora_cristata,14.8952,0.0906254,0.030462,0.194088,0
60000,Valenictus_chulavistensis,Pontolis_magnus,17.3464,0.711774,0.0237816,0.838946,0
70000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.222355,-0.0431387,0.0895086,0
70000,Pusa_caspica,Histriophoca_fasciata,21.448,0.204633,0.0192889,0.0141641,0
70000,Arctocephalus_australis,Zalophus_californianus,20.4347,0.278335,0.000276534,0.0965606,0
70000,Valenictus_chulavistensis,Pontolis_magnus,17.9457,0.672259,0.0779944,0.619409,0
70000,Hydrurga_leptonyx,Enaliarctos_tedfordi,0.946463,0.426866,-0.0565648,0.155781,0
80000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.356616,-0.0274292,0.155305,0
80000,Valenictus_chulavistensis,Imagotaria_downsi,19.3266,0.628736,-0.0181446,0.51888,0
90000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.590331,-0.0895503,0.230203,0
90000,Hydrurga_leptonyx,cf_Miroungini_indet_CD35,7.52804,0.207319,-0.0266184,0.127412,0
90000,Pusa_caspica,Cystophora_cristata,19.8783,0.377043,0.00309623,0.00177136,0
90000,Arctocephalus_australis,Callorhinus_gilmorei,18.8286,0.140092,0.0531886,0.0531808,0
90000,Valenictus_chulavistensis,Pontolis_magnus,19.2706,1.31443,0.00916015,0.818226,0
100000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.340255,-0.036495,0.184696,0
100000,Pusa_caspica,Cystophora_cristata,17.6138,0.267387,-0.00788419,0.101141,0
100000,Arctocephalus_australis,Zalophus_californianus,20.772,0.37064,-0.0643095,0.0624709,0
100000,Valenictus_chulavistensis,Pontolis_magnus,17.8607,0.34139,0.0420477,0.712954,0
100000,Valenictus_chulavistensis,Pontolis_magnus,18.8584,1.27337,-0.0103957,0.728645,0
110000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.177048,-0.0119682,0.344489,0
110000,Hydrurga_leptonyx,Mirounga_angustirostris,19.1004,0.322004,-0.0099753,0.00136116,0
110000,Valenictus_chulavistensis,Pontolis_magnus,18.2763,0.933523,0.0226627,0.76004,0
110000,Hydrurga_leptonyx,Enaliarctos_mealsi,2.2125,0.423984,-0.034246,0.137269,0
120000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.355694,-0.0281042,0.141615,0
120000,Valenictus_chulavistensis,Pontolis_magnus,18.9686,0.636418,0.0560686,1.00504,0
130000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.416866,-0.0372126,0.193217,0
