generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,1.70178,-3343.78,0.5,0.1,0
10000,1,1.71649,-716.612,0.428979,2.17644,0.365
20000,1,-1.83906,-718.907,1.45081,2.17995,0.384
30000,2,-1.53325,-714.634,2.08108,2.08041,0.397
40000,1,-0.444128,-720.313,1.08457,2.08037,0.3854
50000,0,1.23378,-722.656,0.16731,2.04837,0.21
60000,0,1.43955,-722.808,0.0703211,2.12373,0.2995
70000,1,0.920348,-717.757,0.772839,2.09391,0.3655
80000,1,2.44268,-719.762,0.237456,2.12495,0.342
90000,0,1.74655,-722.705,0.13767,2.14437,0.2787
100000,2,1.82227,-715.254,0.564123,2.04527,0.384
110000,1,-1.17194,-717.239,1.57224,2.15052,0.383
120000,1,1.54913,-716.609,0.452293,2.10159,0.36125
130000,1,1.20413,-718.149,0.805589,2.08152,0.340727
140000,1,0.607613,-718.02,0.738353,2.11474,0.232875
150000,1,-0.895448,-716.849,1.41576,2.12516,0.365
160000,1,1.34454,-718.242,0.729792,2.01523,0.29325
170000,0,1.90132,-722.908,0.0149917,2.21093,0.359333
180000,0,1.21318,-723.612,0.18867,2.00907,0.215
190000,1,0.846848,-723.225,0.959141,2.15447,0.43
200000,0,1.54436,-726.149,0.00412166,2.23865,0.236
210000,0,1.88831,-724.234,0.0215301,2.1949,0.201
220000,3,-1.6112,-714.516,1.76906,2.25787,0.403
230000,1,-0.609823,-717.14,0.7617,2.06905,0.416
240000,1,0.0972185,-716.604,1.51693,2.11969,0.349
250000,0,1.73921,-722.033,0.152404,2.12292,0.346
260000,0,0.899412,-721.936,0.547299,2.07808,0.29
270000,1,2.45688,-718.339,0.413867,2.0781,0.39
280000,0,-0.631057,-722.676,1.10093,2.15619,0.32513
290000,1,-0.51527,-725.011,1.48483,2.17835,0.204
300000,2,-1.21729,-711.477,1.63039,2.13599,0.415
310000,1,-1.26028,-717.688,1.60191,2.11302,0.355
320000,3,2.17795,-712.3,0.6691,1.97924,0.391
330000,2,0.865104,-714.331,1.16375,2.01101,0.394
340000,1,0.577536,-717.486,0.611698,2.01069,0.26275
350000,0,-0.0726669,-721.997,1.01459,2.09722,0.2052
360000,1,0.850134,-717.597,0.560953,2.14367,0.394
370000,1,1.74404,-717.875,0.311821,2.0672,0.297
380000,0,0.95527,-724.12,0.386008,2.03317,0.197
390000,1,1.09924,-718.343,0.397774,2.12174,0.299
400000,1,-1.43655,-715.369,1.18521,2.16454,0.367
410000,0,0.821995,-723.326,0.563312,2.14096,0.264
420000,2,1.50259,-712.665,1.18643,2.21646,0.41
430000,2,1.23234,-713.309,0.648075,2.14822,0.379
440000,1,1.51768,-715.325,0.256101,2.12116,0.384
450000,1,-2.11266,-718.524,1.17036,2.08876,0.2225
460000,1,1.48213,-717.526,0.130846,2.05709,0.272846
470000,1,1.85405,-719.936,0.223307,2.11128,0.318833
480000,0,1.33241,-723.036,0.441928,2.07161,0.261
490000,1,1.20387,-715.009,0.467874,2.12542,0.371333
500000,1,2.53412,-720.196,0.475153,2.17525,0.391
510000,0,0.938862,-723.637,0.673623,2.07159,0.338
520000,1,2.31188,-717.617,0.517733,2.20332,0.37
530000,1,3.05613,-717.186,0.0612946,2.02276,0.257
540000,1,0.170495,-716.524,0.997567,2.20531,0.339467
550000,2,1.16226,-711.01,1.31919,2.16692,0.317375
560000,1,1.59079,-717.979,0.141983,2.14879,0.393
570000,1,-0.0545503,-714.023,0.465042,2.09669,0.361
580000,2,2.40188,-711.639,0.952848,2.12995,0.338
590000,1,0.389563,-719.961,0.820208,2.12371,0.350333
600000,0,1.32979,-724.74,0.488235,2.12643,0.313429
610000,1,1.08878,-717.472,0.91059,2.10725,0.3478
620000,0,0.518406,-724.656,0.853617,2.00096,0.19
630000,1,1.13266,-716.651,0.47803,2.10913,0.336
640000,1,-0.329001,-719.75,0.649588,2.11537,0.336
650000,2,1.4894,-718.997,0.426101,1.99858,0.391
660000,1,1.98288,-717.985,0.649219,2.19383,0.3864
670000,2,1.45105,-713.838,1.02542,2.12052,0.3575
680000,0,1.98249,-725.311,0.1037,2.05294,0.302824
690000,2,0.394803,-715.177,1.58234,2.0287,0.29
700000,0,1.38431,-725.913,0.327401,2.09335,0.196
710000,1,-1.31744,-719.357,0.556289,2.0315,0.354571
720000,0,1.41908,-722.674,0.274464,2.12492,0.1975
730000,1,3.0078,-718.181,0.202558,2.16754,0.354
740000,1,2.01515,-721.929,0.533416,2.21781,0.2216
750000,4,2.18393,-707.236,1.11479,2.2457,0.409
760000,2,-1.18796,-716.098,1.02402,2.05174,0.399
770000,1,-0.845429,-714.197,0.98012,2.08947,0.27
780000,0,1.9944,-723.59,0.161436,2.12436,0.2482
790000,1,0.12704,-720.33,0.4938,2.20607,0.367
800000,1,2.10486,-722.73,0.500049,2.1388,0.297625
