generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,5.6138,-3343.78,0.01,0.1,0
10000,1,3.65902,-718.687,0.0290848,2.05015,0.323
20000,0,3.57265,-721.865,0.0236126,2.15506,0.2075
30000,0,4.79158,-723.122,0.0132897,2.19387,0.196
40000,0,4.71956,-722.777,0.0116552,2.06374,0.227857
50000,0,5.47673,-723.112,0.00448661,2.12117,0.204615
60000,0,5.4158,-721.778,0.00421119,2.10372,0.217
70000,1,3.88489,-719.053,0.02224,2.15443,0.241
80000,0,5.4376,-722.596,0.00393757,2.13567,0.207
90000,0,5.24994,-724.41,0.00581694,2.08283,0.187
100000,0,4.31929,-723.104,0.017404,2.1543,0.1925
110000,0,4.9013,-723.113,0.00141816,2.12444,0.216
120000,0,5.42468,-722.181,0.00479875,2.09162,0.185333
130000,0,4.90943,-724.22,0.0031904,2.23011,0.194
140000,0,5.88048,-722.29,0.00140334,2.07434,0.216333
150000,0,1.58128,-722.677,0.0416486,2.06789,0.197
160000,0,4.00031,-722.266,0.0140163,2.14493,0.188
170000,0,4.42131,-723.572,0.0130792,2.00768,0.181
180000,0,4.4457,-723.987,0.0152198,2.1641,0.198
190000,0,5.22722,-722.981,0.00231957,2.15606,0.207
200000,0,3.89718,-724.334,0.0211086,2.03686,0.223333
210000,0,5.78915,-722.342,0.000812157,2.09314,0.177
220000,0,5.32406,-722.695,0.00601667,2.17418,0.205
230000,0,6.01758,-725.751,0.000693548,2.21032,0.197
240000,0,6.11139,-723.03,0.000535178,2.18471,0.206
250000,0,4.24991,-723.965,0.00932569,2.05036,0.222
260000,0,3.92714,-723.393,0.0159623,2.05563,0.198
270000,0,5.38248,-723.181,1.54926e-05,2.1118,0.218
280000,0,5.49324,-725.947,0.00161155,2.08477,0.200435
290000,0,4.48509,-723.106,0.0101546,2.09883,0.211
300000,0,5.14333,-729.558,0.00727077,2.24127,0.2276
310000,1,5.49301,-717.562,0.0206324,2.15752,0.319
320000,0,0.730931,-724.12,0.0464334,2.12503,0.217667
330000,0,4.27535,-723.575,0.00812253,2.14155,0.223667
340000,0,5.00428,-724.866,0.00479198,1.98373,0.217
350000,0,5.2827,-726.583,0.00681879,2.15804,0.211
360000,0,4.71389,-722.716,0.0124525,2.03618,0.194
370000,0,4.55239,-723.265,0.0163093,2.06737,0.203643
380000,0,5.57384,-725.507,0.00582441,2.08668,0.201
390000,0,6.00514,-722.675,0.000528864,2.18736,0.207667
400000,0,3.35341,-730.118,0.0199225,2.28179,0.19
410000,0,5.11299,-722.947,0.00785618,2.03215,0.203
420000,0,4.19557,-723.696,0.019185,2.13799,0.198
430000,0,5.63108,-722.436,0.00118482,2.1581,0.1958
440000,0,4.86541,-722.639,0.0127389,2.16971,0.197
450000,0,5.05666,-723.984,0.00949971,2.20776,0.1882
460000,0,5.64762,-722.69,0.00358142,2.13565,0.1976
470000,0,4.65319,-723.509,0.0108721,2.23035,0.20075
480000,0,5.70816,-722.57,0.00061041,2.06814,0.207
490000,0,5.0499,-721.663,0.00778514,2.11892,0.220667
500000,0,4.29889,-723.59,0.0173526,2.05372,0.223
510000,0,5.41032,-722.223,0.00149355,2.12365,0.187333
520000,0,5.04969,-722.503,0.00769574,2.15996,0.231
530000,1,3.64876,-721.352,0.0330105,2.15758,0.1745
540000,1,5.48916,-718.181,0.00707624,2.19196,0.207
550000,0,5.08682,-722.025,0.00797103,2.17322,0.263
560000,0,4.52498,-725.401,0.0112321,2.00819,0.195333
570000,0,5.0235,-723.908,0.00752123,2.04767,0.214667
580000,0,5.02409,-721.921,0.00831829,2.15378,0.2212
