generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.032,0,0.005,0
10000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.302826,-0.0251055,0.116603,0
10000,Odobenus_rosmarus,Pseudotaria_muramotoi,11.6643,0.329266,0.0350002,0.373737,0
20000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.272086,-0.0235602,0.125069,0
30000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.239029,-0.0120481,0.117416,0
40000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.269317,-0.02796,0.111516,0
50000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.264609,-0.026858,0.101081,0
60000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.310706,-0.0265991,0.121285,0
70000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.26279,-0.0246653,0.128137,0
70000,Odobenus_rosmarus,Pontolis_magnus,17.1397,0.483037,-0.000168195,0.85754,0
80000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.313691,-0.0248611,0.14247,0
90000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.348905,-0.0231141,0.125982,0
100000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.242992,-0.0197381,0.101718,0
110000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.435526,-0.0516697,0.120183,0
120000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.264212,-0.0260833,0.125619,0
130000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.4064,-0.0472451,0.115788,0
140000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.267262,-0.0185237,0.115696,0
150000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.319299,-0.0292228,0.144445,0
160000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.393002,-0.0411751,0.126518,0
170000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.302532,-0.0330102,0.120059,0
180000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.306498,-0.0186635,0.113225,0
190000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.38249,-0.0384808,0.144622,0
200000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.248022,-0.0233161,0.0987787,0
210000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.275231,-0.0260958,0.138865,0
220000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.256298,-0.0257505,0.12231,0
230000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.202706,-0.0202676,0.117758,0
240000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.214081,-0.0108855,0.11671,0
250000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.441909,-0.0474883,0.107918,0
260000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.401043,-0.0360168,0.121678,0
270000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.409549,-0.0420944,0.10547,0
280000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.343861,-0.0361289,0.0834737,0
290000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.383693,-0.0365067,0.147301,0
300000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.295059,-0.0197404,0.18479,0
310000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.202291,0.00601428,0.165154,0
310000,Hydrurga_leptonyx,Devinophoca_claytoni,6.29729,0.226211,-0.0287024,0.0474889,0
320000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.42072,-0.0392927,0.152757,0
330000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.476967,-0.0484356,0.120088,0
340000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.381273,-0.0395528,0.109594,0
350000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.260869,-0.0264797,0.0813881,0
360000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.275983,-0.0224797,0.114381,0
370000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.213734,-0.00563599,0.123495,0
380000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.235833,-0.00221232,0.126772,0
390000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.242276,-0.0163763,0.131036,0
400000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.345853,-0.0434228,0.170911,0
410000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.28966,-0.023142,0.137114,0
420000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.234347,-0.00816728,0.144446,0
430000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.337041,-0.0301684,0.111576,0
440000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.222389,-0.012674,0.117172,0
450000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.277515,-0.0201328,0.101529,0
460000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.275792,-0.0199916,0.105152,0
470000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.334579,-0.0305771,0.114976,0
480000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.338657,-0.0285121,0.117882,0
490000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.294543,-0.0284687,0.12027,0
500000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.26005,-0.0142777,0.144838,0
510000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.331046,-0.0386031,0.122174,0
520000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.299495,-0.02969,0.105813,0
530000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.191813,-0.0100407,0.14849,0
530000,Pusa_caspica,Histriophoca_fasciata,21.454,0.308506,0.0504671,0.0216733,0
540000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.235899,-0.0213971,0.0915493,0
540000,Odobenus_rosmarus,Pelagiarctos_sp_SDNHM_131041,13.5752,0.77544,-0.0330988,0.352453,0
550000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.289504,-0.0257331,0.119155,0
560000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.287,-0.0368608,0.1327,0
570000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.275124,-0.0331817,0.111773,0
580000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.282946,-0.0277079,0.121881,0
590000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.255794,-0.0153324,0.115578,0
600000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.14127,0.0290199,0.0998505,0
610000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.370065,-0.0394388,0.117822,0
620000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.302158,-0.0323142,0.139706,0
630000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.282182,-0.0220027,0.148042,0
640000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.400022,-0.0385959,0.116605,0
650000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.32145,-0.0413255,0.10226,0
650000,Odobenus_rosmarus,Pontolis_magnus,19.1797,0.590466,-0.0483623,0.328745,0
660000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.255235,-0.0221943,0.143544,0
670000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.288708,-0.0291381,0.128009,0
680000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.268478,-0.0209932,0.109849,0
690000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.272579,-0.0242531,0.101848,0
700000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.206344,-0.0161222,0.154326,0
710000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.191901,-0.0090155,0.136833,0
720000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.320047,-0.035014,0.127244,0
730000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.139163,0.0286754,0.105977,0
740000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.359295,-0.0260289,0.139232,0
750000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.299173,-0.0229669,0.135448,0
760000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.241446,-0.0204348,0.116834,0
770000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.434347,-0.0371448,0.142941,0
780000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.234993,-0.0209568,0.128986,0
780000,Odobenus_rosmarus,Titanotaria_orangensis,16.1714,0.354845,0.0818634,0.424791,0
790000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.325769,-0.0301611,0.110685,0
800000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.247282,-0.0139345,0.151157,0
810000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.238839,-0.0216302,0.112796,0
820000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.227496,-0.0218693,0.10326,0
830000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.327413,-0.0338011,0.110331,0
840000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.317081,-0.0351939,0.138487,0
850000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.316737,-0.0351632,0.140915,0
860000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.247098,-0.018042,0.122157,0
870000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.16084,-0.00228465,0.130841,0
880000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.272402,-0.0300235,0.111064,0
890000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.423037,-0.0388578,0.115928,0
900000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.227917,-0.0210767,0.119106,0
910000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.514227,-0.0538674,0.131961,0
920000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.295464,-0.0275873,0.122394,0
930000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.375522,-0.0403309,0.0993729,0
940000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.265112,-0.0226141,0.101417,0
940000,Odobenus_rosmarus,Pontolis_magnus,17.0924,0.486513,-0.0533345,0.445842,0
950000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.312078,-0.0274583,0.111755,0
960000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.468098,-0.0511395,0.154219,0
970000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.250496,-0.021349,0.114337,0
980000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.257098,-0.0179608,0.114852,0
990000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.268562,-0.0215968,0.109429,0
1000000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.214973,-0.0295039,0.12082,0
1010000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.270633,-0.0321622,0.121771,0
1020000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.337449,-0.0287767,0.134052,0
1030000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.404672,-0.0437738,0.155291,0
1030000,Pusa_caspica,Cystophora_cristata,17.2899,0.317254,-0.0286705,0.0165975,0
1040000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.129986,0.0330712,0.127411,0
1050000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.332283,-0.0405437,0.100236,0
1060000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.220776,-0.00656499,0.112236,0
1070000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.304184,-0.0397768,0.128699,0
1080000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.209673,-0.0149453,0.124556,0
1090000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.24325,-0.0188682,0.120596,0
1100000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.361329,-0.0368276,0.137446,0
1110000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.339802,-0.0390476,0.10508,0
1120000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.261731,-0.0163087,0.142621,0
1130000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.350496,-0.0334302,0.120471,0
1140000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.304699,-0.0430322,0.10363,0
1150000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.320609,-0.0362045,0.117181,0
1160000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.366812,-0.0359879,0.13467,0
1170000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.281509,-0.0291949,0.115688,0
1180000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.241267,-0.0162163,0.12045,0
1190000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.292555,-0.0235899,0.100199,0
1200000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.378265,-0.041611,0.099326,0
1210000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.371058,-0.0384372,0.141452,0
1220000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.245396,-0.0266224,0.149604,0
1220000,Odobenus_rosmarus,Pontolis_magnus,17.7869,0.690494,0.0178866,0.46443,0
1230000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.311614,-0.0308804,0.0975375,0
1240000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.250273,-0.0161916,0.12028,0
1250000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.434308,-0.0388016,0.130717,0
1260000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.275401,-0.0239299,0.124677,0
1270000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.263975,-0.0186695,0.151942,0
1280000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.246108,-0.0122115,0.150467,0
1290000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.278401,-0.0238192,0.117737,0
1300000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.245656,-0.0146463,0.119199,0
1310000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.317221,-0.0153896,0.147682,0
1320000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.213472,-0.00788738,0.117268,0
1330000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.209776,-0.0113281,0.129446,0
1340000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.430105,-0.0437805,0.112505,0
1350000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.243091,-0.00729261,0.116787,0
1360000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.252232,-0.0241294,0.121271,0
1370000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.494762,-0.0619048,0.122948,0
1380000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.237489,-0.0222462,0.125069,0
1390000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.314427,-0.026378,0.114165,0
1400000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.331569,-0.0236927,0.153328,0
1410000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.473418,-0.0457536,0.103978,0
1420000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.189131,-0.00515038,0.112222,0
1430000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.402708,-0.0431441,0.139908,0
1440000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.378521,-0.0439473,0.125321,0
1450000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.26755,-0.0199544,0.100349,0
1460000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.280044,-0.0242423,0.113837,0
1470000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.371312,-0.0338954,0.139737,0
1480000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.102236,0.0825676,0.132352,0
1490000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.122248,0.0124929,0.111227,0
1500000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.264142,-0.0209775,0.12583,0
1510000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.264178,-0.020396,0.143962,0
1520000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.219774,-0.0141417,0.115299,0
1530000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.214755,-0.0166727,0.133432,0
1540000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.440576,-0.0417821,0.147774,0
1550000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.170958,0.00945425,0.126789,0
1560000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.197626,-0.00957788,0.129301,0
1570000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.244417,-0.0273977,0.113258,0
1580000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.336534,-0.0350517,0.12152,0
1590000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.280018,-0.0278613,0.110992,0
1600000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.19658,-0.00571409,0.103866,0
1610000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.22841,-0.0207897,0.120972,0
1620000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.300914,-0.0324076,0.139797,0
1630000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.484285,-0.0636736,0.110879,0
1640000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.18261,0.00311149,0.106109,0
1650000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.252858,-0.018622,0.15191,0
1660000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.2993,-0.0277716,0.117817,0
1670000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.238583,-0.0234671,0.11973,0
1680000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.343269,-0.0356185,0.115593,0
1690000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.122641,0.0385976,0.127645,0
1700000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.187123,0.00758497,0.099479,0
1710000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.401433,-0.0390183,0.122371,0
1720000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.255739,-0.0225267,0.135036,0
1730000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.302047,-0.0375243,0.0996898,0
1740000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.328874,-0.0325007,0.109624,0
1750000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.389118,-0.0428065,0.153808,0
1760000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.404306,-0.0481295,0.135576,0
1770000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.268173,-0.0223667,0.116878,0
1780000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.257881,-0.0288198,0.154042,0
1790000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.232852,-0.0212437,0.145038,0
1800000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.339428,-0.0443511,0.0914052,0
1810000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.299004,-0.0305828,0.148098,0
1820000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.225712,-0.00684658,0.114553,0
1830000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.388792,-0.036497,0.123027,0
1840000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.230023,-0.00896179,0.131888,0
