generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.18677,-125.303,1,0
10000,0,0.985424,-101.311,0.534173,0.327
20000,0,1.14019,-101.232,0.407971,0.357
30000,0,-0.0917143,-101.059,1.94283,0.305
40000,0,0.4969,-103.732,0.697925,0.298
50000,0,1.05603,-101.019,0.232057,0.324
60000,0,1.41634,-101.482,0.188718,0.330333
70000,0,-0.72719,-102.732,2.11393,0.322
80000,0,1.6501,-101.808,0.00880136,0.3538
90000,0,1.6843,-100.351,0.0259857,0.329667
100000,0,-1.87923,-103.015,1.65135,0.30075
110000,0,1.02941,-100.158,0.079063,0.3216
120000,0,1.63566,-101.54,0.07982,0.3345
130000,0,-0.330672,-101.217,1.79397,0.331143
140000,0,1.69525,-100.108,0.217799,0.368
150000,0,-0.182769,-103.169,1.9467,0.354
160000,0,1.28812,-101.096,0.197871,0.3354
170000,0,1.37329,-100.375,0.30422,0.361
180000,0,1.33767,-101.071,0.423049,0.353
190000,0,1.40261,-100.524,0.382994,0.341
200000,1,0.618397,-102.888,0.60119,0.353
210000,0,0.502083,-101.869,1.02591,0.31
220000,0,1.27616,-101.038,0.763374,0.3426
230000,0,1.49711,-100.342,0.358863,0.327
240000,0,1.44001,-103.209,0.189584,0.313
250000,0,-0.557334,-102.085,1.92347,0.334
260000,0,1.48197,-100.162,0.437753,0.345
270000,0,1.00208,-100.244,1.0268,0.367
280000,1,0.193506,-101.03,0.607389,0.4075
290000,0,0.478742,-100.628,1.25794,0.308889
300000,0,0.994071,-101.628,0.131407,0.341667
310000,0,0.679391,-101.724,0.410089,0.328167
320000,0,0.43415,-101.503,0.618901,0.304
330000,0,-0.266772,-103.783,0.783522,0.302
340000,1,1.24644,-103.154,0.817608,0.342
350000,0,1.8648,-100.259,0.0107528,0.394
360000,0,0.508973,-101.563,0.59862,0.309
370000,0,0.685839,-101.428,0.510623,0.325833
380000,0,1.14099,-100.499,0.605895,0.372
390000,0,0.411102,-101.697,0.499271,0.323778
400000,0,1.50422,-100.89,0.0386387,0.336
410000,0,1.75577,-101.135,0.183067,0.318
420000,0,-0.255879,-102.814,0.538017,0.274
430000,0,0.878317,-101.984,0.579091,0.326714
440000,0,1.37732,-100.304,0.432108,0.351
