generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,1.80977,-3514.54,0.5,0.1,0
10000,1,-1.47753,-819.149,1.56011,2.05438,0.3465
20000,1,-4.33862,-812.925,2.31299,2.18156,0.34575
30000,3,-2.01504,-802.596,1.57821,2.09364,0.39675
40000,3,1.87307,-805.423,0.831164,2.06156,0.423
50000,2,0.718988,-807.845,0.937784,2.14855,0.3478
60000,3,0.776724,-811.51,0.882856,2.02024,0.387
70000,3,1.16308,-802.592,1.51861,2.03569,0.402
80000,1,1.83709,-811.438,0.209363,2.02287,0.370077
90000,1,0.101401,-814.6,0.239467,2.15026,0.394333
100000,2,-6.77353,-807.878,1.79425,2.04707,0.391
110000,1,0.935675,-810.753,0.456696,2.11664,0.3755
120000,2,2.32003,-810.226,0.428676,2.09205,0.357
130000,1,0.498419,-812.312,0.320463,2.04064,0.316
140000,1,-0.862276,-812.372,1.20582,2.06586,0.362
150000,2,-0.526572,-805.692,0.668468,2.07121,0.366333
160000,3,0.129617,-800.347,1.37423,2.058,0.36125
170000,1,1.32638,-812.822,0.191085,1.94321,0.349333
180000,1,0.559998,-816.595,0.358045,2.07422,0.358
190000,2,-3.83442,-808.1,0.839826,2.06335,0.360727
200000,2,0.467966,-808.749,0.554386,2.0791,0.372308
210000,2,-0.050989,-805.451,1.68992,2.16395,0.399
220000,2,-2.13851,-808.289,0.666271,2.1328,0.38525
230000,2,-0.336661,-813.003,1.13009,2.14003,0.3415
240000,1,-2.68655,-812.993,1.39002,2.10668,0.344636
250000,1,-0.137163,-812.015,0.810616,2.01624,0.34
260000,1,1.70994,-815.691,0.101921,2.14304,0.352
270000,1,-5.9944,-815.57,1.13161,1.97568,0.338
280000,1,0.612598,-814.691,0.699322,2.03976,0.328
290000,4,-1.23242,-804.367,1.97149,2.05822,0.400571
300000,3,-2.17103,-801.158,2.33521,2.14957,0.392818
310000,4,0.0904863,-795.744,0.672524,2.06605,0.398
320000,4,-2.39115,-807.274,1.89498,1.97918,0.402
330000,1,0.398279,-811.307,0.449486,1.98465,0.347
340000,1,-0.109186,-811.448,0.448747,2.03603,0.3835
350000,3,3.22235,-801.214,0.689103,2.04362,0.396333
360000,1,-0.0229944,-812.32,0.701003,2.00855,0.37
370000,2,2.9937,-804.966,0.317221,2.0641,0.372947
380000,4,3.05994,-801.036,1.11588,2.01734,0.40275
390000,1,-1.57741,-814.453,0.854518,2.03634,0.37
400000,2,1.595,-805.605,0.717651,2.07191,0.376
410000,3,-1.33696,-802.197,1.70391,2.05669,0.414
420000,3,-0.976595,-811.755,2.41316,2.16005,0.382583
430000,1,0.160315,-812.598,0.0972228,2.03712,0.37625
440000,2,-1.81609,-809.555,1.99701,2.11403,0.3888
450000,2,3.60771,-808.506,0.044088,2.05826,0.369
460000,4,0.516461,-797.578,1.80951,1.96377,0.3898
470000,1,1.79498,-814.113,0.277276,2.07955,0.355
480000,1,0.31174,-810.769,0.238451,2.09846,0.344
490000,1,1.05873,-811.097,0.256612,2.06827,0.34
500000,1,-0.101224,-813.542,0.500322,2.07925,0.335
510000,1,1.15021,-818.9,0.3304,1.96874,0.324
520000,2,-0.803498,-809.996,0.909036,2.09182,0.386688
530000,1,0.963728,-813.981,0.141624,2.08826,0.331
540000,1,0.709363,-813.414,0.713762,2.00617,0.346
550000,2,0.457849,-811.832,0.909402,2.01836,0.373
560000,1,0.808969,-815.196,0.324056,2.09442,0.342
570000,2,-1.51291,-809.965,2.31862,2.12871,0.379
580000,2,-0.794119,-806.781,0.922098,2.12314,0.375
590000,2,-0.460996,-810.974,1.13033,1.94652,0.385333
600000,2,1.11366,-809.106,0.835765,1.90887,0.3708
610000,1,0.853548,-809.764,0.365012,2.07451,0.324
620000,3,-1.91036,-802.296,1.3131,2.12633,0.3935
630000,2,0.77537,-813.872,0.749322,2.14683,0.402
640000,2,-0.276546,-808.753,1.3645,2.09867,0.39175
650000,1,-2.67763,-815.217,0.81591,2.00036,0.359625
660000,2,-1.36075,-816.38,0.560834,2.20374,0.376
670000,3,-0.379816,-811.636,1.41746,2.02409,0.393
680000,4,-4.96766,-797.459,2.09827,1.99134,0.394
690000,2,0.280508,-810.447,0.611913,1.98129,0.331
700000,6,0.511028,-795.763,1.19188,1.94397,0.3914
710000,3,1.70092,-803.267,1.34655,2.0842,0.423
720000,2,0.0658387,-810.322,1.4879,2.06378,0.357
730000,4,0.813772,-800.829,1.13637,2.01732,0.41
740000,2,-0.525963,-807.027,0.428005,2.15471,0.383143
750000,2,-1.80387,-809.907,0.904094,1.97904,0.3508
760000,3,0.0262623,-800.139,1.16874,2.09287,0.389
770000,4,-1.83146,-803.312,2.60614,2.12716,0.412667
780000,3,-1.76722,-806.462,2.10747,2.12127,0.409
790000,2,-0.0288956,-810.812,0.548929,2.0726,0.357
800000,1,-1.16124,-813.794,1.55199,2.03266,0.3524
810000,2,0.852035,-809.868,0.846382,2.18665,0.382
820000,3,-3.7883,-803.432,2.12948,2.14698,0.382
830000,2,1.29875,-808.893,0.931398,2.13779,0.342
840000,2,-1.80567,-812.804,1.44638,2.16742,0.357867
850000,2,0.32648,-817.186,0.841826,2.14323,0.377
860000,3,0.865255,-807.91,2.08157,2.03262,0.417
870000,2,-0.930246,-810.015,1.07175,2.12527,0.373
880000,4,-1.09286,-795.813,2.05106,2.11285,0.42
890000,1,-1.31411,-811.877,1.59065,2.00187,0.347
900000,6,-7.53534,-802.687,3.64383,2.17772,0.405167
910000,3,-1.58713,-808.271,1.87565,2.20803,0.361
920000,1,-0.430796,-817.242,0.890387,2.01714,0.338
930000,1,-1.44595,-814.931,0.673475,1.94451,0.353
940000,1,1.35192,-816.589,0.623994,1.91531,0.356
950000,3,0.462808,-800.989,1.36546,2.11862,0.3845
960000,5,2.97882,-803.904,0.923048,1.99103,0.382
970000,1,1.42537,-811.698,0.305894,2.16511,0.373
980000,2,0.37675,-808.004,1.11659,2.00615,0.342
990000,3,-2.81042,-802.476,1.68283,2.01164,0.405667
1000000,2,-0.746293,-806.426,0.884421,2.14744,0.3684
1010000,4,2.94518,-802.069,1.63198,2.15012,0.401778
1020000,1,-1.58354,-812.466,1.66025,2.08907,0.359
1030000,2,1.32776,-813.209,1.08686,2.0775,0.355
1040000,2,2.36022,-807.191,0.532821,2.05037,0.3595
1050000,2,0.433947,-803.115,0.546639,2.0711,0.361455
1060000,3,1.47042,-807.777,0.946395,2.0716,0.379
1070000,4,-1.14276,-798.813,1.62769,2.06373,0.42
1080000,4,-1.44414,-799.368,1.82851,2.08246,0.44
1090000,4,-0.193143,-798.021,0.332761,2.09745,0.42
1100000,1,-0.385211,-815.054,0.878156,2.06171,0.288
1110000,2,0.333435,-808.931,0.583616,2.08773,0.367
1120000,2,1.14631,-811.066,0.835333,2.0511,0.396
1130000,1,1.23572,-814.053,0.172923,1.98259,0.39
1140000,1,-0.33495,-813.82,0.551958,2.16508,0.373
1150000,1,-1.05887,-813.49,1.3363,2.02962,0.3455
1160000,1,0.520342,-814.331,0.231636,2.06385,0.3872
1170000,1,1.16026,-817.874,0.349487,1.99019,0.342
1180000,1,0.427952,-813.491,0.579673,2.06468,0.341333
1190000,1,-1.66101,-813.265,1.68327,2.06085,0.377
1200000,3,0.678164,-812.97,0.815216,1.95443,0.354278
1210000,2,1.60449,-811.534,0.787469,2.0426,0.353333
1220000,2,-0.0791658,-811.028,1.3642,2.04692,0.3598
1230000,1,0.0760456,-810.955,0.369799,2.1485,0.359125
1240000,1,1.59203,-811.974,0.38464,2.09114,0.3695
1250000,3,0.69129,-809.069,2.01935,2.09934,0.382667
1260000,1,-0.146655,-815.333,0.696803,2.02125,0.315
1270000,4,0.261181,-802.762,1.57401,2.08776,0.388571
1280000,5,1.79583,-800.641,1.73338,2.10585,0.44
1290000,2,1.80044,-809.066,0.569008,2.01272,0.371333
1300000,1,0.351752,-812.95,0.779748,2.06341,0.322
1310000,2,-1.75839,-810.636,1.62619,2.0878,0.428
1320000,1,0.151092,-813.545,0.575781,2.07421,0.3502
1330000,4,1.26865,-801.909,2.3339,2.04932,0.389
1340000,3,-1.37535,-802.256,1.00579,2.04354,0.427
1350000,3,-3.17417,-801.278,2.92396,2.05508,0.4006
1360000,3,-2.75973,-801.341,0.465783,2.11523,0.387
1370000,1,-1.01431,-812.415,1.54138,2.05457,0.346
1380000,4,2.16967,-803.05,1.01183,2.08955,0.399
1390000,3,-2.21861,-804.802,2.48494,2.1613,0.357
1400000,3,-1.16708,-801.287,1.26335,2.03993,0.4036
1410000,1,1.27155,-817.856,0.260727,2.18359,0.351545
1420000,4,-1.01908,-799.002,2.43435,1.99622,0.4118
1430000,2,2.3325,-809.308,0.361098,2.03541,0.364
1440000,1,-0.0890942,-814.822,1.19228,2.12553,0.323
1450000,1,1.28146,-815.466,0.290083,2.10983,0.364
