generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,0.423476,-3514.54,2,0.1,0
10000,1,-1.11395,-816.249,3.34955,2.05332,0.335
20000,1,0.202705,-811.499,0.179675,2.11865,0.375
30000,3,-3.87358,-800.735,4.57548,2.08318,0.397
40000,4,1.96608,-799.377,1.72546,2.08001,0.4088
50000,3,0.751257,-806.485,4.59177,2.17402,0.377
60000,5,0.0574524,-798.395,3.22996,2.03503,0.3888
70000,3,2.49303,-808.701,3.50921,2.18776,0.4075
80000,2,-0.366813,-809.343,2.69492,1.96217,0.362
90000,4,-2.05227,-799.463,7.29352,2.14385,0.409
100000,5,-7.94823,-800.539,6.34377,2.08276,0.416
110000,4,-0.934376,-798.665,3.76941,2.00004,0.421
120000,6,1.81424,-793.255,3.39383,2.08603,0.40125
130000,5,-1.11994,-798.454,3.17692,2.10477,0.414788
140000,4,-0.604418,-802.403,3.85676,2.05372,0.422125
150000,3,0.736473,-801.743,3.22198,2.05442,0.4
160000,1,-1.1482,-812.965,0.684707,2.07899,0.381286
170000,3,1.97465,-804.618,1.87545,2.13307,0.385
180000,3,-1.0355,-801.521,2.36179,1.98881,0.4115
190000,2,-1.65007,-809.05,2.57604,2.02306,0.367
200000,4,-2.13951,-808.109,1.88551,1.98093,0.414
210000,4,-0.817732,-797.59,3.42539,2.07547,0.3635
220000,2,0.691829,-807.396,0.533792,2.05097,0.392
230000,1,-2.46028,-813.504,1.11886,2.03537,0.337
240000,1,-0.478927,-816.402,0.239863,2.12072,0.354
250000,1,0.0515502,-814.472,0.202177,2.04173,0.364833
260000,4,2.17776,-794.958,2.29559,2.08015,0.417
270000,4,-3.14184,-807.694,8.35181,2.09373,0.393
280000,4,-0.46679,-801.254,3.11252,2.01247,0.4264
290000,3,1.51626,-801.316,2.51463,2.13419,0.414
300000,4,-1.96811,-800.833,2.18809,2.02811,0.416
310000,5,-0.426224,-795.493,1.8115,2.11729,0.403
