node,ML,_,A,B,C,D,E,F,G,H,I,AB,AC,AD,AE,AF,AG,AH,AI,BC,BD,BE,BF,BG,BH,BI,CD,CE,CF,CG,CH,CI,DE,DF,DG,DH,DI,EF,EG,EH,EI,FG,FH,FI,GH,GI,HI,ABC,ABD,ABE,ABF,ABG,ABH,ABI,ACD,ACE,ACF,ACG,ACH,ACI,ADE,ADF,ADG,ADH,ADI,AEF,AEG,AEH,AEI,AFG,AFH,AFI,AGH,AGI,AHI,BCD,BCE,BCF,BCG,BCH,BCI,BDE,BDF,BDG,BDH,BDI,BEF,BEG,BEH,BEI,BFG,BFH,BFI,BGH,BGI,BHI,CDE,CDF,CDG,CDH,CDI,CEF,CEG,CEH,CEI,CFG,CFH,CFI,CGH,CGI,CHI,DEF,DEG,DEH,DEI,DFG,DFH,DFI,DGH,DGI,DHI,EFG,EFH,EFI,EGH,EGI,EHI,FGH,FGI,FHI,GHI,ABCD,ABCE,ABCF,ABCG,ABCH,ABCI,ABDE,ABDF,ABDG,ABDH,ABDI,ABEF,ABEG,ABEH,ABEI,ABFG,ABFH,ABFI,ABGH,ABGI,ABHI,ACDE,ACDF,ACDG,ACDH,ACDI,ACEF,ACEG,ACEH,ACEI,ACFG,ACFH,ACFI,ACGH,ACGI,ACHI,ADEF,ADEG,ADEH,ADEI,ADFG,ADFH,ADFI,ADGH,ADGI,ADHI,AEFG,AEFH,AEFI,AEGH,AEGI,AEHI,AFGH,AFGI,AFHI,AGHI,BCDE,BCDF,BCDG,BCDH,BCDI,BCEF,BCEG,BCEH,BCEI,BCFG,BCFH,BCFI,BCGH,BCGI,BCHI,BDEF,BDEG,BDEH,BDEI,BDFG,BDFH,BDFI,BDGH,BDGI,BDHI,BEFG,BEFH,BEFI,BEGH,BEGI,BEHI,BFGH,BFGI,BFHI,BGHI,CDEF,CDEG,CDEH,CDEI,CDFG,CDFH,CDFI,CDGH,CDGI,CDHI,CEFG,CEFH,CEFI,CEGH,CEGI,CEHI,CFGH,CFGI,CFHI,CGHI,DEFG,DEFH,DEFI,DEGH,DEGI,DEHI,DFGH,DFGI,DFHI,DGHI,EFGH,EFGI,EFHI,EGHI,FGHI
121,ADH,0,2.7065428038138943e-5,1.1376215819023757e-6,1.1376233194640344e-6,2.889855836821981e-4,1.1376238624520529e-6,1.1376199529383205e-6,1.13762082171915e-6,5.648121185863836e-7,1.1379695286245406e-6,1.2891781735080012e-4,1.2891781735080012e-4,0.016809503096923806,1.2891783125129337e-4,1.2891780345030684e-4,1.2891780345030684e-4,0,1.2892063915093393e-4,5.637055090049667e-7,7.1622819792457e-5,5.637056176025703e-7,5.637045316265336e-7,5.637048031205428e-7,1.613540762771247e-5,5.638016721830181e-7,7.162292404615653e-5,5.637061062917869e-7,5.637050203157502e-7,5.637052918097593e-7,1.613544585406896e-5,5.638022151710365e-7,7.16229587973897e-5,7.162272943925074e-5,7.162277809097719e-5,0.002024679794565248,7.164282955251918e-5,5.637051832121557e-7,5.63705400407363e-7,1.613545801700057e-5,5.63802378067442e-7,5.637043144313263e-7,1.613537461404095e-5,5.638011834938016e-7,1.6135391989657537e-5,5.638014549878108e-7,1.6142769676460596e-5,7.274861379214825e-5,0.008788273497241853,7.274861379214825e-5,7.274859989165499e-5,7.274860684190163e-5,0.002137241096092136,7.274989958777574e-5,0.008788274386873421,7.274862074239489e-5,7.274860684190163e-5,7.274860684190163e-5,0.00213724243053949,7.274990653802237e-5,0.00878827527650499,0.008788272607610283,0.008788273497241853,0.17647822140698688,0.008788503022186726,7.274860684190163e-5,7.274861379214825e-5,0.002137243097763167,7.274990653802237e-5,7.274859989165499e-5,0.0021372399840526744,7.27498926375291e-5,0.0021372406512763513,7.27498926375291e-5,0.0021374999788787968,1.3569269710027102e-5,1.6197841638935905e-7,1.619781584700503e-7,1.6197821276885215e-7,9.102033436611673e-6,1.620012626102315e-7,1.356927405393125e-5,1.3569241909040563e-5,1.3569248859287197e-5,0.001102553097769456,1.3572059365270227e-5,1.6197819919415168e-7,1.6197825349295352e-7,9.10203691173499e-6,1.620013033343329e-7,1.619779955736448e-7,9.10201171709094e-6,1.620010046909228e-7,9.102016929775915e-6,1.6200107256442508e-7,9.104201044780964e-6,1.3569289691986177e-5,1.3569256678314662e-5,1.3569263628561296e-5,0.0011025557666641639,1.357208021601013e-5,1.6197830779175536e-7,1.6197837566525765e-7,9.102048205885773e-6,1.6200143908133748e-7,1.6197810417124847e-7,9.102023011241721e-6,1.620011404379274e-7,9.102028223926697e-6,1.6200119473672923e-7,9.104214076493406e-6,1.3569261022218808e-5,1.3569267972465444e-5,0.001102556545091787,1.3572087166256766e-5,1.3569236696355585e-5,0.0011025507624865866,1.357204112087281e-5,0.0011025519857299944,1.3572049808681104e-5,0.0011030559620139918,1.6197814489534987e-7,9.102027355145867e-6,1.6200118116202876e-7,9.102031699050015e-6,1.6200124903553105e-7,9.104218420397552e-6,9.102007373186792e-6,1.6200095039212096e-7,9.104189750630183e-6,9.104195832095988e-6,7.845030283109727e-4,9.501490174150214e-6,9.501485830246068e-6,9.501486699026898e-6,9.76726722320919e-4,9.501819442084549e-6,7.845031395149188e-4,7.845026390971611e-4,7.845026946991342e-4,0.11692863278669521,7.845438401592134e-4,9.501486699026898e-6,9.501487567807726e-6,9.767268335248653e-4,9.501820310865377e-6,9.501484092684408e-6,9.767261663011881e-4,9.5018150981804e-6,9.767262775051343e-4,9.50181596696123e-6,9.767847707808145e-4,7.845033619228111e-4,7.845029171070265e-4,7.845029727089996e-4,0.1169287110742733,7.845441181690788e-4,9.501488436588556e-6,9.501489305369386e-6,9.767271671367037e-4,9.501822048427036e-6,9.501485830246068e-6,9.767264999130266e-4,9.501817704522889e-6,9.767266111169728e-4,9.501818573303719e-6,9.76785104392653e-4,7.845029727089996e-4,7.845030283109727e-4,0.11692873954248352,7.84544229373025e-4,7.84502583495188e-4,0.11692857585027477,7.84543562149348e-4,0.116928604318485,7.845437289552672e-4,0.1169426177949643,9.501485830246068e-6,9.767266111169728e-4,9.501817704522889e-6,9.76726722320919e-4,9.501819442084549e-6,9.767852155965991e-4,9.767260550972421e-4,9.501814229399573e-6,9.76784437168976e-4,9.767846595768685e-4,1.589375558843606e-6,1.5893724095130997e-6,1.5893730610987217e-6,8.034975797476665e-5,1.5896272880889178e-6,2.5621346095603543e-8,2.5621352882953773e-8,9.618486499294927e-7,2.5624430946282848e-8,2.5621317249365067e-8,9.618461521846083e-7,2.5624381737993685e-8,9.618466951726265e-7,2.5624390222181474e-8,9.620518360459628e-7,1.5893728439035144e-6,1.5893734954891364e-6,8.03498066264931e-5,1.5896280482721433e-6,1.5893705633538372e-6,8.034948691514789e-5,1.5896228355871672e-6,8.034955641761424e-5,1.5896238129656002e-6,8.037486226561228e-5,2.562132233987774e-8,9.61846586575023e-7,2.5624388525343915e-8,9.618470209654377e-7,2.56243970095317e-8,9.620522704363775e-7,9.618447404157605e-7,2.562435289175521e-8,9.620486867154564e-7,9.620493383010784e-7,1.5893742556723621e-6,1.5893749072579841e-6,8.034995953191906e-5,1.589630871809839e-6,1.5893718665250812e-6,8.034962592008059e-5,1.5896252247344479e-6,8.03496884723003e-5,1.5896260935152773e-6,8.037528623065702e-5,2.5621339308253313e-8,9.618476725510597e-7,2.562441058423216e-8,9.618481069414744e-7,2.5624419068419946e-8,9.620543337908473e-7,9.618457177941935e-7,2.5624371556968342e-8,9.620503156795114e-7,9.620509672651336e-7,1.589372300915496e-6,8.034966067131376e-5,1.5896258763200699e-6,8.034972322353347e-5,1.5896267451008993e-6,8.037539048435655e-5,8.034943826342144e-5,1.5896218582087342e-6,8.037455645476035e-5,8.037469545969305e-5,9.618460435870045e-7,2.5624378344318572e-8,9.62050750069926e-7,9.62051401655548e-7,9.620479265322307e-7
122,ADH,0,0.0015023382457263774,1.8228184968837256e-5,1.8228290075131466e-5,7.641383046819791e-5,1.822832126051546e-5,1.8228091412685278e-5,1.82281399232826e-5,3.709135586318346e-6,1.824880774777141e-5,0.0076260108155080455,0.0076260108155080455,0.014883295790174346,0.007626011555816011,0.00762601007520008,0.007626010815508046,0,0.007626107795851551,2.358720345202283e-6,4.605750722293948e-6,2.358722512202187e-6,2.35870680145288e-6,2.3587100519527364e-6,3.457989149654078e-4,2.360112823224191e-6,4.605767286736751e-6,2.3587299161185267e-6,2.358713844202569e-6,2.3587172752857504e-6,3.458009739469373e-4,2.360121491223808e-6,4.6057722208260965e-6,4.605735920025912e-6,4.605743673594884e-6,6.755597133697284e-4,4.608729502518726e-6,2.3587160112024723e-6,2.358719261702329e-6,3.458016217164072e-4,2.360124019390362e-6,2.358703731536347e-6,3.4579706419549355e-4,2.360105419307849e-6,3.4579801271507457e-4,2.360109030974356e-6,3.4620483507684396e-4,6.401803772788071e-4,8.615724468248897e-4,6.401804444481341e-4,6.401800414321721e-4,6.401801086014993e-4,0.11526551127386028,6.402172532393335e-4,8.615727180063283e-4,6.401806459561152e-4,6.401802429401531e-4,6.401803101094802e-4,0.11526558874600573,6.402174547473145e-4,8.615728084001415e-4,8.615721756434515e-4,8.615723564310772e-4,0.18422150862800876,8.616251464177902e-4,6.4018031010948e-4,6.401803772788071e-4,0.11526561457005423,6.402175219166415e-4,6.40179974262845e-4,0.11526545101774718,6.402170517313524e-4,0.11526548544981183,6.402171860700065e-4,0.115279619812347,3.8387071460020226e-7,2.851266694896628e-7,2.8512506247115217e-7,2.851253904341135e-7,2.8444883392816387e-5,2.8526054397048727e-7,3.8387120009806627e-7,3.8386802229386615e-7,3.838686402002385e-7,3.8303714371742454e-5,3.840939112090964e-7,2.8512529204522513e-7,2.851256200081864e-7,2.8444919076521358e-5,2.8526090472974477e-7,2.851240785822681e-7,2.8444681884835364e-5,2.8525851060012686e-7,2.8444730162789152e-5,2.852589369519767e-7,2.846513494490868e-5,3.8387278900016646e-7,3.838693905151191e-7,3.8387005255766086e-7,3.830397425395444e-5,3.840984130983801e-7,2.8512601356374e-7,2.851263415267013e-7,2.844503452380214e-5,2.8526218378529397e-7,2.8512476730448683e-7,2.844478473786734e-5,2.852595600816031e-7,2.8444835114862592e-5,2.852599864334529e-7,2.84653427500141e-5,3.8386983187681376e-7,3.83870449783186e-7,3.8304050523734045e-5,3.84099472366447e-7,3.8386744852366347e-7,3.830348273759698e-5,3.84090689268727e-7,3.830359855466972e-5,3.840920574899798e-7,3.834241704768169e-5,2.851249640822636e-7,2.8444818322530832e-5,2.8525988804456443e-7,2.8444866600484617e-5,2.85260281600118e-7,2.8465399424133755e-5,2.8444637804964507e-5,2.852580514519809e-7,2.846497121967409e-5,2.8465044686125503e-5,6.800840552113375e-5,2.8658732325135847e-6,2.8658721448137904e-6,2.8658723260970896e-6,2.699619623090144e-4,2.8659526345986156e-6,6.800840982296052e-5,6.800836250286593e-5,6.800837110651949e-5,0.006402051849248799,6.801131355603725e-5,2.865872326097091e-6,2.86587250738039e-6,2.6996198557154054e-4,2.865952815881916e-6,2.8658716009638945e-6,2.6996182273385905e-4,2.865950821765626e-6,2.69961869258911e-4,2.8659511843322242e-6,2.699746403856444e-4,6.80084356339212e-5,6.800838401199984e-5,6.800839261565338e-5,0.006402056262367971,6.801139959257285e-5,2.8658728699469885e-6,2.8658730512302876e-6,2.699620786216444e-4,2.86595408486501e-6,2.8658719635304933e-6,2.69961892521437e-4,2.8659517281821214e-6,2.699619157839629e-4,2.86595209074872e-6,2.699748497483778e-4,6.800838831382661e-5,6.800839691748017e-5,0.00640205791728766,6.801141679987997e-5,6.800835389921237e-5,0.006402047436129635,6.80112576322891e-5,0.006402049642689219,6.801127914142299e-5,0.006402637690818445,2.8658721448137917e-6,2.69961915783963e-4,2.8659519094654193e-6,2.69961939046489e-4,2.8659522720320177e-6,2.699749195359556e-4,2.699617994713334e-4,2.8659504591990266e-6,2.6997447754796306e-4,2.699745473355409e-4,3.9570110210736435e-8,3.9569765755024686e-8,3.956982036385704e-8,2.838573037623386e-6,3.958921070002115e-8,1.664095500960575e-9,1.6640969146508792e-9,1.1957100840970754e-7,1.6646834194159373e-9,1.6640898461993567e-9,1.1957029460671709e-7,1.6646678688225878e-9,1.1957043056919143e-7,1.6646698126467563e-9,1.1962762545007483e-7,3.956980776181879e-8,3.956985816997173e-8,2.8385792214993815e-6,3.9589378727197604e-8,3.9569589326489386e-08,2.838541849379227e-6,3.958803030910648e-8,2.8385480332552234e-6,3.958821093832118e-8,2.8407053993855634e-6,1.664090906467085e-9,1.1957039657857285e-7,1.6646698126467563e-9,1.1957053254104722e-7,1.6646715797596368e-9,1.1962792003543593e-7,1.1956987538908776e-7,1.664659916814625e-9,1.1962624316491877e-7,1.196264471086303e-7,3.956995898627759e-8,3.957001779578935e-8,2.8386061079167565e-6,3.9590151652209325e-8,3.9569698544154075e-8,2.8385550237237395e-6,3.9588706618491736e-8,2.8385620141922577e-6,3.958889564906526e-8,2.840890915665464e-6,1.6640939105589814e-9,1.195707138243463e-7,1.664676881098278e-9,1.1957084978682064e-7,1.664679001633734e-9,1.1962922300914857e-7,1.1957015864424261e-7,1.6646648647306896e-9,1.1962683233564095e-7,1.1962709293038348e-7,3.956973214958936e-8,2.8385590566863452e-6,3.958886204362995e-8,2.8385657782906894e-6,3.9589042672844656e-8,2.840930707563181e-6,2.8385362032315743e-6,3.958774886358588e-8,2.8405846793715374e-6,2.840630117416905e-6,1.1957024928589218e-7,1.6646662784209943e-9,1.1962701361894011e-7,1.1962724022306408e-7,1.1962597123996996e-7
123,A,0,0.9753143832157029,3.39284940655874e-14,3.3929693662896585e-14,6.533229326086832e-14,3.393005889462325e-14,3.392741726170351e-14,3.392796510929355e-14,1.166156086977101e-25,3.416580967710035e-14,0.0031680733074085387,0.003168149183530942,0.005242010500834225,0.0031681726083741023,0.0031680050698219457,0.0031680399524688235,0,0.0031831230052843523,3.0719554085266196e-15,4.378448950331313e-15,3.071973245409956e-15,3.0718463603080323e-15,3.0718723048656135e-15,1.5114060672828998e-16,3.083067786845707e-15,4.378567314545517e-15,3.0720334448912186e-15,3.071902911335886e-15,3.071929058585323e-15,1.5115063096671451e-16,3.083154944343833e-15,4.378601297458597e-15,4.3783444096749736e-15,4.3783968239985364e-15,2.682643549768653e-16,4.397918567609039e-15,3.0719203428355108e-15,3.0719462873930916e-15,1.5115436433410437e-16,3.08317906467471e-15,3.071821429209732e-15,1.5113125861151887e-16,3.0829960339286485e-15,1.511360012619563e-16,3.0830294780849065e-15,1.5305153229657983e-16,3.5208096719221947e-6,2.582313868888196e-5,3.520850250612048e-6,3.5206032498912252e-6,3.520646651446456e-6,2.633608381425014e-5,3.5391088967533975e-6,2.5827093286122254e-5,3.5210055082079944e-6,3.52069711016514e-6,3.5207447460184394e-6,2.633761833144273e-5,3.5397140485194136e-6,2.5828113494921707e-5,2.5819768908301987e-5,2.5821420306888966e-5,4.440610182651588e-5,2.6264662385976094e-5,3.5207274559679848e-6,3.5207726218140757e-6,2.63381811778975e-5,3.5398573089374917e-6,3.5205609069105135e-6,2.6334657683030255e-5,3.5386762926337874e-6,2.633538215768994e-5,3.538845664556638e-6,2.6629594929858973e-5,9.462656862906687e-17,1.2590113457573516e-17,1.2589269756158494e-17,1.2589401353901061e-17,5.0817202841748014e-17,1.2642892761544552e-17,9.462956183852592e-17,9.46093645820837e-17,9.461295643343457e-17,7.284562944755071e-17,9.564689386947247e-17,1.2589375526306729e-17,1.2589502204507524e-17,5.08178689635759e-17,1.2643321991564732e-17,1.2588835606596532e-17,5.081381723172362e-17,1.2640480956187619e-17,5.081463307818259e-17,1.264084254250834e-17,5.114436338299279e-17,9.4642133318254e-17,9.461746927231131e-17,9.46213558396705e-17,7.284957511585787e-17,9.570838820657457e-17,1.2589749411481896e-17,1.2589884698880805e-17,5.0819714548823856e-17,1.264523569331658e-17,1.2589108641165237e-17,5.081553753717827e-17,1.264168870369425e-17,5.0816362550451354e-17,1.2642094565890979e-17,5.114731815275232e-17,9.46197533213755e-17,9.462347411097998e-17,7.2851077605445e-17,9.572169647632334e-17,9.460580036035863e-17,7.284187104606173e-17,9.560587308507047e-17,7.28438133949193e-17,9.562176011989165e-17,7.350756538905352e-17,1.258919227337547e-17,5.081618532537786e-17,1.264200478425351e-17,5.0817007283046237e-17,1.2642377439543236e-17,5.11483845587979e-17,5.0813022774497715e-17,1.2639948415790072e-17,5.114186084273109e-17,5.114300669449928e-17,1.0812608656898577e-7,1.2522045388308713e-8,1.252084190897207e-8,1.2520991830459397e-8,1.3002055721260842e-7,1.2581117534895153e-8,1.0814071768293406e-7,1.080668115732496e-7,1.0807686880848622e-7,8.611181884748523e-7,1.1096684493383647e-7,1.252097950814536e-8,1.2521119161037669e-8,1.300228504536462e-7,1.2583093212577494e-8,1.2520344908972965e-8,1.3001050566909948e-7,1.2573492076231373e-8,1.3001266488955698e-7,1.257424476424653e-8,1.308730621227546e-7,1.08209599589941e-7,1.0808569869016891e-7,1.0809912894020833e-7,8.613255400591463e-7,1.1161614145349455e-7,1.2521482669301471e-8,1.252164285938382e-8,1.3003047473553737e-7,1.2592763148510261e-8,1.2520629349055094e-8,1.300148985658923e-7,1.257606538614403e-8,1.300172662628078e-7,1.2577268865480683e-8,1.3090936680879166e-7,1.0809240940024772e-7,1.081038882464353e-7,8.614056375742145e-7,1.1175189205448486e-7,1.0805822009837221e-7,8.609164250892882e-7,1.1055159325806079e-7,8.610228949807975e-7,1.1070563054401617e-7,8.897030014192546e-7,1.252071765897229e-8,1.30016670615785e-7,1.2576914598952397e-8,1.30018919183296e-7,1.2577774080355797e-8,1.3092189028744517e-7,1.3000845068687106e-7,1.2572316322101283e-8,1.3084579638028786e-7,1.3085641378846851e-7,8.44828249276761e-19,8.443749175826774e-19,8.444282198322567e-19,4.828632064673255e-18,8.592764410710278e-19,9.577216490956084e-20,9.577305360912594e-20,6.913542476930364e-19,9.615851771042541e-20,9.57670194137593e-20,6.913022842552457e-19,9.609981873074485e-20,6.913105523046533e-19,9.610423235631627e-20,6.94503572767022e-19,8.444238217402349e-19,8.444726602546278e-19,4.828832123053328e-18,8.596462746598588e-19,8.442006349809124e-19,4.827649547994813e-18,8.566482200505065e-19,4.82789805256797e-18,8.570244866694598e-19,4.898049534288524e-18,9.57677214117351e-20,6.913099008825787e-19,9.61061217764001e-20,6.913179183850345e-19,9.610977365948713e-20,6.945331373073275e-19,6.912760269347035e-19,9.607634660693621e-20,6.943592577228197e-19,6.943838614334807e-19,8.446242303214735e-19,8.44680946015607e-19,4.8293800181290656e-18,8.614180493130598e-19,8.442936513450178e-19,4.828132267256834e-18,8.581739641231363e-19,4.828384954235149e-18,8.585663133173935e-19,4.899240474157355e-18,9.577036510623975e-20,6.913321995612831e-19,9.613329805974072e-20,6.913406179388618e-19,9.613797306753718e-20,6.94622131584585e-19,6.912923625959564e-19,9.608865397570374e-20,6.944381299032271e-19,6.944633850359626e-19,8.443198429676553e-19,4.828321869624009e-18,8.585047400290856e-19,4.8285721168659826e-18,8.588861924580341e-19,4.899632923174709e-18,4.8274271834538915e-18,8.560296645113583e-19,4.897092809108554e-18,4.897519065900939e-18,6.912986763791396e-19,9.609167107338708e-20,6.944661410524314e-19,6.944909452006536e-19,6.943228783054261e-19
124,A,0,0.9903852572517462,2.01653990629752e-10,2.016830522167854e-10,3.431754068653341e-10,2.0169194209486136e-10,2.0162776868722595e-10,2.0164112269112693e-10,1.099554921505062e-18,2.0743585220956442e-10,0.0012310866490510383,0.0012311664524083073,0.002035090046138049,0.0012311908045556383,0.0012310147522351094,0.0012310514385869325,0,0.001246941478271548,4.454742098312748e-12,2.6421844589063324e-11,4.454851550964068e-12,4.454088225330864e-12,4.454242454066808e-12,2.1824963396497693e-12,4.52086535897192e-12,2.6425429947535628e-11,4.455223618905393e-12,4.454422979868333e-12,4.4545793407987816e-12,2.182890342789435e-12,4.521518876588057e-12,2.642643501320141e-11,2.641869413478181e-11,2.6420273523685164e-11,3.798390390487898e-12,2.697101205266379e-11,4.454526035936134e-12,4.45468133076933e-12,2.1830298809900407e-12,4.521692650440313e-12,4.453939682446938e-12,2.182131562621407e-12,4.520345814243922e-12,2.182317027568355e-12,4.520579289542346e-12,2.2589819519243667e-12,1.8689076675618257e-6,9.403707438749155e-6,1.8689517989535531e-6,1.868703199505689e-6,1.8687428955816637e-6,1.114447465494549e-5,1.8853824261545193e-6,9.407644808319479e-6,1.869131651007271e-6,1.8687872487391776e-6,1.8688333760229912e-6,1.11454854932994e-5,1.8862745899179083e-6,9.40865129564778e-6,9.400336979533168e-6,9.401998956958663e-6,1.9111378882359172e-5,9.831972779550066e-6,1.868816078291562e-6,1.868858213791199e-6,1.1145892194239265e-5,1.8864821626950735e-6,1.8686648340244402e-6,1.1143516587630754e-5,1.8847552725072748e-6,1.1144002445129386e-5,1.884995001323637e-6,1.1335797877176364e-5,3.737267367617795e-13,5.302439307658838e-14,5.301500721254966e-14,5.3016566489238284e-14,2.566828265408685e-13,5.36631792770335e-14,3.7375546595589453e-13,3.7356607973767736e-13,3.735997858499296e-13,1.3629276445788426e-12,3.837998874070568e-13,5.3016204042356636e-14,5.301772178867344e-14,2.566912650547684e-13,5.3667623026821724e-14,5.300994805816024e-14,2.566376217984299e-13,5.3638970845731606e-14,2.566485409253394e-13,5.36426594978498e-14,2.6117005614074533e-13,3.738756493123937e-13,3.736403121833327e-13,3.7367709924490787e-13,1.3631074934054318e-12,3.844320613420872e-13,5.3020379732472003e-14,5.3021965437579097e-14,2.567156946632492e-13,5.368733485149839e-14,5.3013206304606506e-14,2.5666078895207547e-13,5.365079945073293e-14,2.566717966723068e-13,5.365499401829008e-14,2.612065344409885e-13,3.736617471640927e-13,3.7369674358845477e-13,1.3631753565170751e-12,3.8456846576510767e-13,3.7353337427563213e-13,1.3627557864599473e-12,3.833801673108156e-13,1.3628451897401306e-12,3.835422199786284e-13,1.394621454825805e-12,5.3014199258042556e-14,2.5666900598267055e-13,5.3653993513877207e-14,2.5667996940624105e-13,5.365780675711097e-14,2.6121969054927293e-13,2.566270791931378e-13,5.363374934534309e-14,2.611388048464869e-13,2.611533341512589e-13,8.72764033156169e-8,1.3644033132767362e-8,1.3642427649651013e-8,1.364259749925022e-8,9.973553640802211e-8,1.3711247741623438e-8,8.729673266290375e-8,8.719942136581928e-8,8.72117580516517e-8,4.88861265049745e-7,9.076345298718098e-8,1.3642598847262921e-8,1.3642755216735215e-8,9.973759875585476e-8,1.3714999260945702e-8,1.3641852048231479e-8,9.972748103547734e-8,1.369771639021963e-8,9.972912660221488e-8,1.3698902641388728e-8,1.0036837538563075e-7,8.73940954701587e-8,8.722117582782299e-8,8.723860343550553e-8,4.890337147180258e-7,9.174170839004633e-8,1.3643247241367853e-8,1.3643438659170138e-8,9.974449720156652e-8,1.3733585659945092e-8,1.3642155351087216e-8,9.973070031014287e-8,1.3701786040537239e-8,9.973259019683271e-8,1.370389568040046e-8,1.0040973013049702e-7,8.722952906047079e-8,8.724402917346382e-8,4.891069314198288e-7,9.194576593044338e-8,8.718938546760212e-8,4.886872046840577e-7,9.013963906745892e-8,4.887809052550867e-7,9.03703187809711e-8,5.135145995967469e-7,1.3642251059988367e-8,9.97321590439757e-8,1.3703233806168615e-8,9.973390521304657e-8,1.3704637087381154e-8,1.0042522288982489e-7,9.972593607107323e-8,1.3695829172450643e-8,1.0033718147642759e-7,1.0034913878232809e-7,2.8390774256859895e-15,2.8367282665361723e-15,2.8370051376546404e-15,1.0381421892030893e-14,2.919014547525311e-15,4.68369047908724e-16,4.683795828775084e-16,2.3890341117483194e-15,4.729902749300378e-16,4.683182773448746e-16,2.388653388254032e-15,4.725450112493806e-16,2.3887219429668316e-15,4.725797797177886e-16,2.416778571274998e-15,2.8369835417074002e-15,2.837236971071171e-15,1.0382105062216608e-14,2.9209544911620365e-15,2.8358345265657644e-15,1.0378097525356576e-14,2.9052431626735096e-15,1.0378953791649061e-14,2.9072141158755053e-15,1.0642308000314666e-14,4.683259251793566e-16,2.3887077117429694e-15,4.7259317110668e-16,2.3887750422644692e-15,4.726220424497044e-16,2.4169415417418075e-15,2.388438083609155e-15,4.723704317666704e-16,2.4159934055799877e-15,2.416137707129472e-15,2.838018670528975e-15,2.8383130768182786e-15,1.0383915660656747e-14,2.9302449938325694e-15,2.8363088990820703e-15,1.0379732395049522e-14,2.913238093090362e-15,1.0380600508223843e-14,2.9152935842738624e-15,1.064590616159136e-14,4.683530458132823e-16,2.3888746608314997e-15,4.727977276434237e-16,2.3889438276399493e-15,4.728344311060981e-16,2.4174104070096905e-15,2.388579477704299e-15,4.724610693552489e-16,2.416418506008898e-15,2.4165655619888072e-15,2.8364454888338457e-15,1.038038726435084e-14,2.9149725983571802e-15,1.038124813776404e-14,2.916970869509534e-15,1.064716456370606e-14,1.0377342615719793e-14,2.902004693491175e-15,1.0639331800334193e-14,1.0640688926464174e-14,2.388628139308473e-15,4.724840128586941e-16,2.4165742843518172e-15,2.4167195040447774e-15,2.4157970759002572e-15
