generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,1.17979,-3363.17,1,0.1,0
10000,1,-0.67736,-262.29,0.360869,3.20345,0.348222
20000,1,-1.23561,-264.057,0.385542,3.07015,0.342
30000,1,-0.862706,-264.445,0.986412,3.09322,0.357
40000,1,-2.43167,-262.902,2.13527,3.07081,0.3665
50000,1,-0.892652,-262.343,0.961216,3.09189,0.376
60000,2,-1.25779,-260.368,1.12357,2.94042,0.41425
70000,1,-2.12276,-264.19,2.47222,3.08084,0.3488
80000,1,-1.25342,-262.115,0.727279,3.01369,0.377
90000,1,-4.64144,-264.476,1.14271,3.0873,0.365
100000,1,-0.402586,-262.772,0.740948,3.06392,0.39425
110000,5,-2.95271,-259.008,2.16887,2.96245,0.37575
120000,1,-2.54512,-261.237,0.559336,3.01245,0.384
130000,1,-2.74334,-263.833,1.1143,2.84173,0.364
140000,1,-0.808573,-263.05,1.10268,3.02528,0.379333
150000,1,-0.354355,-264.722,1.10157,3.03395,0.358
160000,1,-0.646995,-263.563,0.58404,3.14047,0.379
170000,1,0.824972,-267.792,0.563966,3.10918,0.375
180000,2,-0.403742,-262.546,0.523427,3.17341,0.357571
190000,1,-0.98039,-260.997,0.393745,2.95351,0.381
200000,1,-3.6374,-264.012,0.568645,3.13827,0.377
210000,1,-2.1154,-266.013,1.55036,2.88358,0.342
220000,1,-0.100215,-263.192,0.319724,3.17824,0.34
230000,1,0.470737,-264.854,0.365242,3.25517,0.363
240000,1,-0.387191,-261.181,0.266478,3.10018,0.356125
250000,1,-0.0028169,-265.114,0.0755191,3.07978,0.385
260000,1,-1.14838,-261.792,0.723394,3.06553,0.36225
270000,1,-6.13365,-262.825,0.959214,3.09351,0.367
280000,1,-3.10379,-264.156,0.660628,3.17164,0.383
290000,1,-1.0171,-262.298,0.0765771,2.92946,0.355
300000,1,-2.94697,-261.323,2.14687,3.19018,0.363
310000,1,-3.2492,-264.468,0.475771,2.92723,0.342
320000,1,-1.08556,-263.891,0.558363,2.92931,0.359167
330000,1,-3.97411,-263.841,1.46593,3.18792,0.313
340000,1,-0.917905,-262.549,0.175728,3.19663,0.358444
350000,1,-4.46724,-262.065,2.17619,2.93339,0.351
360000,1,-3.01635,-262.682,0.272455,3.13769,0.375333
370000,1,-0.541915,-264.966,0.544181,3.06711,0.3772
380000,1,-1.87692,-261.363,0.791006,3.16797,0.369625
390000,1,-0.996141,-260.99,0.0887034,3.05492,0.3625
400000,1,-1.08811,-263.202,0.578091,3.09009,0.342
410000,1,-4.04093,-260.216,2.65316,3.08353,0.3594
420000,1,-2.75492,-261.816,1.49588,2.98499,0.377333
430000,1,-4.14084,-261.262,1.85827,3.01602,0.368
440000,1,-2.11832,-263.972,2.28766,3.02306,0.303
450000,1,-1.53821,-264.257,0.255011,3.04714,0.354929
460000,1,-0.308597,-263.738,0.601596,3.00357,0.383071
470000,1,-2.53731,-264.247,2.33291,3.16568,0.3648
480000,1,0.129107,-266.25,0.143842,2.93633,0.374
490000,1,-2.13397,-262.113,0.601863,3.06597,0.357333
500000,2,-2.28001,-264.22,1.37546,3.08525,0.360471
510000,1,-2.74046,-264.77,2.14497,2.9136,0.365333
520000,1,-0.737916,-263.715,1.25547,3.18062,0.3665
530000,1,-1.21131,-263.537,1.60777,3.04713,0.354333
540000,1,-0.706594,-261.886,0.169096,2.98505,0.376
550000,1,-0.665632,-261.491,0.377647,3.00614,0.3818
560000,1,-1.01239,-264.685,0.989446,2.87683,0.363333
570000,1,-1.29869,-262.217,0.340609,2.92931,0.34
580000,3,-4.67477,-259.67,1.69024,3.11299,0.406333
590000,1,0.098139,-267.488,0.246261,3.04643,0.378
600000,1,-5.90888,-262.075,1.23689,2.97994,0.34
610000,2,-2.03005,-260.847,1.72273,3.11797,0.4025
620000,1,-0.607618,-263.591,0.574141,3.12985,0.354
630000,2,-2.00856,-267.224,1.27161,3.14318,0.354
640000,1,-1.96783,-267.888,0.156451,3.35642,0.357471
650000,1,-2.35917,-262.473,1.07302,3.21331,0.364
660000,1,-0.344194,-264.421,0.444558,3.24963,0.355
670000,1,-2.47917,-262.124,0.385681,2.92407,0.374111
680000,1,-1.67977,-266.568,1.05148,2.9794,0.354
690000,1,-1.14707,-262.407,0.489346,3.1283,0.367
700000,1,-1.10596,-263.982,0.886034,3.03686,0.379875
710000,2,-6.69052,-257.77,2.08336,3.02189,0.41325
720000,1,-4.10397,-264.288,0.630346,2.99019,0.385
730000,1,-1.56829,-261.388,1.07995,3.0887,0.355833
740000,1,-1.67511,-260.481,0.463402,3.0713,0.369
750000,1,-1.32727,-262.651,0.188134,3.05189,0.324
760000,1,-0.252049,-265.231,1.04658,3.09852,0.384
770000,1,-4.54642,-260.167,0.521785,3.08894,0.36
780000,1,-1.27312,-264.76,1.16785,3.18856,0.3605
790000,1,-2.92482,-263.408,0.438491,2.96424,0.366
800000,2,-4.82475,-265.481,5.27022,2.92704,0.355
810000,1,-0.338955,-267.107,1.58748,2.96173,0.366
820000,1,-3.69629,-262.208,2.13597,3.13908,0.384
830000,1,-3.6426,-264.078,0.279645,3.05738,0.365375
840000,1,-0.907753,-261.985,0.173763,3.04983,0.36
850000,1,-4.04615,-266.864,2.89608,3.24496,0.3605
860000,1,-1.00145,-263.419,1.73977,3.03391,0.334
870000,1,-0.782123,-261.8,0.813127,3.10744,0.362
880000,3,-4.29839,-257.203,1.2665,3.0042,0.409
890000,1,-2.12395,-261.083,0.930521,3.17961,0.349
900000,1,-2.3176,-261.315,0.795753,3.16213,0.392
910000,2,-2.2484,-260.055,1.55715,2.99938,0.341
920000,1,-0.573539,-262.085,0.413493,3.11312,0.3605
930000,1,-1.95025,-262.186,0.196949,3.1792,0.338
940000,1,-0.89254,-267.24,0.805152,3.06609,0.363611
950000,1,-1.95291,-261.283,0.467606,3.04513,0.336
960000,1,0.0443847,-266.654,1.20456,2.89226,0.354167
970000,1,-2.62223,-262.656,1.46224,3.08049,0.366286
980000,1,-2.5352,-263.086,0.817849,3.25283,0.362
990000,1,-3.59393,-262.039,4.07784,3.07231,0.338
1000000,1,-4.33707,-264.165,2.28213,3.07305,0.3125
1010000,2,-1.12576,-262.521,0.519654,3.04979,0.359545
1020000,1,0.0633674,-261.619,0.281231,3.08138,0.358
1030000,2,-1.72632,-265.308,1.56669,2.88389,0.39175
1040000,1,-0.679716,-266.703,0.656093,3.08921,0.3575
1050000,1,-1.89666,-265.785,0.28993,3.17621,0.345
1060000,1,-0.854869,-266.93,1.34776,2.9465,0.366
1070000,1,-2.50367,-261.126,0.453498,3.07771,0.356
1080000,1,-3.54847,-262.786,1.85097,3.07871,0.364
1090000,1,-2.75288,-261.559,1.27243,3.03793,0.36875
1100000,1,-1.97886,-265.424,0.934175,3.26608,0.3735
1110000,2,-3.44797,-261.097,1.38646,3.12135,0.371
1120000,1,-2.25782,-264.945,1.79577,3.05587,0.368
1130000,1,-3.97266,-262.746,1.96793,3.10326,0.354875
1140000,1,0.189943,-264.542,0.739349,3.04336,0.369
1150000,1,-1.41904,-262.297,0.355189,3.02774,0.360095
1160000,2,-2.63639,-264.302,2.43135,3.14439,0.3576
1170000,1,-2.49287,-265.445,1.45066,2.93208,0.387
1180000,1,-5.86734,-262.68,3.3338,3.10404,0.355
1190000,1,-1.01705,-266.692,0.796062,3.16709,0.3585
1200000,1,-2.4189,-262.327,1.58755,3.11711,0.36975
1210000,1,0.48692,-268.89,0.639936,3.10128,0.371875
1220000,1,-1.82721,-261.136,0.860089,3.09006,0.349
1230000,1,-3.72258,-261.008,2.70518,3.10363,0.35
1240000,1,-2.15257,-263.88,0.836536,2.93817,0.347
1250000,2,-0.742076,-262.145,0.518116,3.07029,0.406
1260000,1,-2.75349,-265.667,0.806481,2.9049,0.3375
1270000,1,-0.88276,-268.896,0.351074,2.93918,0.367
1280000,2,0.688848,-266.908,0.954005,2.98941,0.37625
1290000,1,-0.685024,-262.762,0.27495,3.00661,0.3643
1300000,1,-1.70704,-263.075,0.553393,3.01547,0.371
1310000,1,-0.46927,-264.027,0.0475482,2.87354,0.37
1320000,2,-2.7348,-264.422,2.0038,3.20475,0.362
