generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.032,0,0.005,0
10000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.406158,-0.0604229,0.172436,0
10000,Valenictus_chulavistensis,Pontolis_kohnoi,20.3512,0.806282,-0.0497911,0.929443,0
20000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.407335,-0.0741196,0.177249,0
20000,Valenictus_chulavistensis,Pontolis_kohnoi,20.3746,0.311327,0.0917864,0.626303,0
30000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.590295,-0.0909472,0.178251,0
30000,Valenictus_chulavistensis,Pontolis_magnus,18.0314,0.402612,-0.001727,0.587627,0
40000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.344404,-0.0453429,0.170817,0
40000,Valenictus_chulavistensis,Imagotaria_downsi,19.585,0.57342,-0.00862041,0.622773,0
50000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.212657,-0.0370872,0.166547,0
50000,Valenictus_chulavistensis,Pontolis_magnus,17.115,0.668904,-0.0389206,0.714692,0
60000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.281204,-0.028071,0.179984,0
60000,Valenictus_chulavistensis,Pontolis_magnus,17.6561,0.293916,0.0505402,0.430797,0
70000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.556277,-0.089312,0.132213,0
70000,Valenictus_chulavistensis,Pontolis_magnus,17.743,0.462176,-0.0644054,0.384266,0
80000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.37431,-0.0654688,0.175767,0
80000,Valenictus_chulavistensis,Pontolis_magnus,18.8244,0.46281,-0.0683133,0.723616,0
90000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.361961,-0.0504357,0.182185,0
90000,Valenictus_chulavistensis,Pontolis_magnus,17.1483,0.867797,-0.0406523,0.445729,0
100000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.669794,-0.0873006,0.162633,0
100000,Valenictus_chulavistensis,Pontolis_magnus,18.1205,0.315444,0.0271609,0.55728,0
110000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.279571,-0.0272476,0.136917,0
110000,Valenictus_chulavistensis,Pontolis_magnus,19.2995,0.557128,-0.0599316,0.585431,0
120000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.197357,-0.0344776,0.117226,0
120000,Valenictus_chulavistensis,Pontolis_magnus,18.6557,0.206813,0.0164889,0.480679,0
130000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.37246,-0.0665937,0.155207,0
130000,Valenictus_chulavistensis,Pontolis_magnus,17.2462,0.607789,-0.0557983,0.419026,0
130000,Valenictus_chulavistensis,Imagotaria_downsi,19.566,1.00105,-0.0393016,0.526493,0
140000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.268205,-0.0368587,0.149369,0
140000,Valenictus_chulavistensis,Pontolis_magnus,19.2479,0.389723,0.0304771,0.6269,0
150000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.267227,-0.0499375,0.172529,0
150000,Valenictus_chulavistensis,Pontolis_magnus,17.9887,0.539012,0.0590423,0.47744,0
160000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.372052,-0.075696,0.140303,0
160000,Valenictus_chulavistensis,Pontolis_magnus,19.1153,0.489357,0.0187644,0.420209,0
170000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.267594,-0.0486905,0.16969,0
170000,Valenictus_chulavistensis,Imagotaria_downsi,19.467,0.502019,0.0402587,0.572104,0
180000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.387446,-0.0626727,0.184977,0
180000,Valenictus_chulavistensis,Pontolis_magnus,18.7326,0.708708,-0.00884421,0.355828,0
190000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.44711,-0.0695585,0.179903,0
190000,Valenictus_chulavistensis,Pontolis_magnus,19.0088,0.404804,-0.0203513,0.491149,0
200000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.489275,-0.0872259,0.189656,0
200000,Valenictus_chulavistensis,Titanotaria_orangensis,16.096,0.635831,-0.00903727,0.285002,0
210000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.411327,-0.0762522,0.147049,0
210000,Valenictus_chulavistensis,Pontolis_magnus,18.5969,1.24626,-0.040394,0.633048,0
220000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.286895,-0.0476555,0.141701,0
220000,Valenictus_chulavistensis,Pontolis_magnus,18.7388,0.236874,-0.0196154,0.613358,0
230000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.285657,-0.0473339,0.155855,0
230000,Valenictus_chulavistensis,Pontolis_kohnoi,20.347,0.725776,0.0132022,0.931079,0
240000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.404835,-0.0757493,0.184811,0
240000,Valenictus_chulavistensis,Pontolis_magnus,18.5636,0.0568866,0.0135653,0.302604,0
240000,Valenictus_chulavistensis,Pontolis_magnus,18.909,0.565704,0.00983723,0.708341,0
250000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.374383,-0.0588904,0.174285,0
250000,Valenictus_chulavistensis,Pontolis_magnus,18.7137,0.360878,0.028883,0.869466,0
250000,Pliophoca_etrusca,Enaliarctos_mitchelli,2.94971,0.509784,-0.0868839,0.146457,0
260000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.0640901,0.0138486,0.150902,0
260000,Valenictus_chulavistensis,Pontolis_magnus,17.6067,0.399591,-0.0885897,0.400902,0
260000,Pliophoca_etrusca,Enaliarctos_mealsi,2.07171,0.450206,-0.0844924,0.163746,0
270000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.395581,-0.0788637,0.141399,0
270000,Valenictus_chulavistensis,Pontolis_magnus,19.1782,0.331233,-0.039915,0.55032,0
