generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,1.33802,-2717.75,1,0.156439,1
10000,1,-1.71387,-175.948,0.755187,3.13261,0.381
20000,1,-2.06642,-175.647,0.0186468,3.10189,0.389
30000,1,-0.801157,-174.19,0.105588,3.15312,0.3815
40000,1,0.274117,-175.737,1.01096,3.17104,0.283
50000,1,-0.757063,-178.012,1.7212,3.05708,0.37175
60000,1,0.974289,-178.867,0.812363,3.19039,0.38
70000,1,-2.20057,-175.361,0.686761,3.23307,0.3775
80000,1,-1.8691,-174.929,1.00071,3.23571,0.394
90000,1,-0.897922,-177.389,1.29954,3.20456,0.383333
100000,1,-1.55771,-176.952,0.925394,3.22749,0.3585
110000,1,-1.03197,-177.404,1.88911,3.20287,0.3855
120000,1,0.487423,-181.036,2.18829,3.09328,0.396429
130000,2,-2.53076,-175.28,1.77413,3.14113,0.373
140000,1,0.257438,-176.024,1.44148,3.22296,0.383
150000,1,-0.220053,-176.388,0.739458,3.1647,0.388
160000,1,0.361329,-173.882,0.183632,3.16723,0.367
170000,1,0.358813,-175.785,0.683867,3.08473,0.3814
180000,1,0.513754,-175.861,0.314965,3.1892,0.376
190000,1,0.286862,-177.041,0.346238,3.35422,0.373167
200000,1,-0.26032,-178.882,0.0108954,3.20948,0.38075
210000,1,-2.16138,-176.086,0.589587,3.11181,0.373727
220000,1,1.07725,-176.953,0.766842,3.13673,0.38175
230000,1,0.318577,-177.656,0.232901,3.20872,0.392667
240000,2,0.51164,-174.069,1.11593,3.05334,0.391417
250000,2,-1.57427,-175.169,1.0429,2.98093,0.4115
260000,2,-1.20929,-171.856,0.992282,3.13253,0.4375
270000,2,-1.3257,-172.446,0.942703,3.13623,0.412667
280000,2,-4.32502,-172.512,1.93066,3.14397,0.418
290000,2,-1.87304,-177.293,1.74113,3.12436,0.4042
300000,1,-1.97071,-177.605,2.93879,3.08103,0.375
310000,1,-0.604051,-180.053,0.604286,3.19464,0.398
320000,1,-0.730422,-175.33,1.02893,3.15939,0.38
330000,1,-4.10126,-176.95,2.50815,3.21891,0.373
340000,1,0.490688,-173.374,0.229564,3.0929,0.377
350000,1,-0.434427,-175.88,0.842112,3.08099,0.3895
360000,1,-0.983964,-175.835,0.930875,2.97572,0.418
370000,1,0.715977,-178.082,0.456847,2.95972,0.390583
380000,1,-3.02379,-176.144,1.5099,2.99624,0.369
390000,1,-2.3943,-174.869,0.566498,3.21657,0.3926
400000,1,-1.02165,-174.87,0.938142,3.16287,0.387
410000,1,-2.13777,-175.883,0.27656,2.97195,0.375
420000,1,0.584743,-179.636,1.74046,3.2708,0.3778
430000,1,-0.0203571,-180.516,0.212932,3.02473,0.393
440000,1,-0.955897,-176.78,0.594925,3.13267,0.383
450000,1,1.16875,-177.805,0.231164,2.88042,0.392077
460000,1,-0.296633,-176.092,0.751218,3.17169,0.406
470000,1,-0.873674,-174.206,1.56975,3.06101,0.404
480000,1,0.130083,-173.964,0.596311,3.20945,0.389
490000,1,-0.46674,-179.155,1.79089,3.34713,0.3795
500000,2,-3.54352,-178.402,2.36542,3.35181,0.37
510000,1,-1.17069,-176.776,0.909157,3.19025,0.3905
520000,1,0.58649,-174.725,0.440381,3.22894,0.393889
530000,2,-0.324126,-173.471,1.30067,3.10744,0.398
540000,1,0.577397,-175.922,0.614276,3.09745,0.366
550000,1,-1.6132,-173.557,0.962339,3.13697,0.381833
560000,1,0.188497,-180.557,0.993033,2.83487,0.395
570000,1,1.45607,-182.097,0.536679,2.9279,0.391
580000,1,1.92134,-182.37,0.833535,3.13851,0.388
590000,1,-0.0418347,-175.363,0.457141,3.20411,0.381739
600000,1,-1.4026,-175.563,2.01825,3.02249,0.38775
610000,1,-0.257448,-174.14,0.431511,3.01942,0.403
620000,1,0.395971,-179.801,0.487163,2.91592,0.384
630000,1,-1.28004,-173.802,0.755702,3.04314,0.390333
640000,2,-1.10066,-174.019,2.33271,2.97776,0.398
650000,1,0.554142,-175.707,0.288032,3.17622,0.381571
660000,1,-0.499151,-180.421,0.905167,2.92915,0.37675
670000,1,-3.34283,-176.838,1.474,3.22793,0.393
680000,1,-0.118811,-178.193,1.11494,3.1129,0.406
690000,1,1.40045,-184.696,0.748077,3.12246,0.353
700000,1,-2.70502,-176.25,1.68575,3.18082,0.384318
710000,1,-0.750474,-172.635,0.512408,3.13614,0.367
720000,1,1.13755,-179.072,1.56399,3.09329,0.412
730000,2,-1.12655,-175.77,0.92569,3.22719,0.403
740000,1,-1.46178,-174.86,1.36993,3.15161,0.371
750000,1,-1.41519,-177.024,2.2366,3.04395,0.389
760000,1,-0.899518,-174.595,0.334206,2.98451,0.381
770000,0,0.593378,-184.154,0.00270825,3.03092,0.278333
780000,1,-0.548424,-174.002,0.355871,3.13717,0.375
790000,1,-0.319066,-174.435,0.236061,3.03281,0.390552
800000,1,-1.52088,-175.085,0.187963,3.12572,0.3
810000,1,-1.92005,-174.745,0.513497,3.07324,0.331769
820000,1,0.133656,-183.09,0.491996,3.13614,0.401
830000,1,-1.26567,-175.632,1.65845,3.11685,0.406
840000,1,0.335331,-176.822,1.42743,3.11423,0.395
850000,1,1.12855,-178.565,0.808089,3.06528,0.381
860000,1,1.86209,-178.384,0.803215,3.11634,0.382
870000,1,-0.0491482,-178.211,0.994324,2.96682,0.3862
880000,2,1.97839,-177.989,0.157605,3.07769,0.398
890000,2,-2.18544,-180.481,1.93865,3.09364,0.3922
900000,1,0.778092,-181.494,1.01947,2.94892,0.361
910000,1,-2.19542,-176.452,2.20434,3.1124,0.407
920000,1,-1.38017,-173.661,0.873743,2.96776,0.3845
930000,1,0.733213,-178.125,1.18708,3.16439,0.375
940000,1,0.212904,-176.922,0.467321,3.19245,0.392714
950000,2,0.45841,-176.292,1.79067,3.19174,0.3905
960000,3,1.94936,-179.379,0.696382,3.05833,0.387
970000,2,1.95851,-177.854,1.24125,3.10542,0.404
980000,1,-0.59804,-174.712,0.571095,3.09652,0.396
990000,1,-3.99516,-175.569,1.53466,3.23728,0.398
1000000,2,1.76443,-176.333,0.57667,3.0364,0.416167
1010000,1,0.0949583,-173.836,0.371973,3.15813,0.378
1020000,1,-3.91283,-177.865,0.528746,3.13619,0.382
1030000,1,-1.72476,-172.913,0.947536,3.05929,0.4
1040000,0,0.489851,-184.174,0.128813,3.01939,0.32075
1050000,2,-0.440181,-174.751,0.634712,3.25445,0.445
1060000,1,-0.666781,-176.297,1.28158,3.18514,0.3812
1070000,4,1.82148,-179.947,1.82425,3.01307,0.38175
1080000,1,1.96632,-177.588,0.671312,3.19034,0.3915
1090000,1,-2.31746,-175.956,0.853404,2.93544,0.379333
1100000,1,0.705734,-177.092,0.850061,3.01808,0.410667
1110000,1,-0.19855,-173.642,0.179678,3.15674,0.386
1120000,1,0.0880627,-179.587,0.974602,3.26336,0.387286
1130000,1,0.69355,-177.705,0.7986,3.0244,0.382375
1140000,1,-1.11308,-176.325,1.36156,3.0069,0.387875
1150000,1,0.0818333,-174.824,1.35827,3.04192,0.356
1160000,3,-2.17529,-176.279,3.19907,3.01408,0.411
1170000,2,-0.911349,-176.321,3.09696,3.14704,0.414
1180000,1,-0.796954,-174.478,1.88779,3.0075,0.37
1190000,1,-1.91946,-174.635,0.794589,3.16524,0.383
1200000,1,-0.0930407,-176.863,1.55445,3.17165,0.384615
1210000,2,-0.354327,-177.678,1.73439,3.03028,0.392667
1220000,2,1.33983,-175.681,1.12408,3.17462,0.389
1230000,1,0.97179,-179.768,0.218574,3.14843,0.37
1240000,1,0.983052,-177.983,1.0119,3.04085,0.389167
1250000,1,-1.98455,-179.783,0.64013,3.33746,0.3915
1260000,1,-0.705698,-177.608,0.194403,3.11888,0.3784
1270000,1,0.884916,-175.547,0.496309,3.11372,0.391
1280000,1,-0.491662,-178.647,0.887724,3.0236,0.39725
1290000,2,-3.83909,-173.045,2.78278,3.05058,0.404273
1300000,1,-1.62387,-175.149,1.46365,3.20933,0.405
1310000,1,0.282837,-176.792,0.116145,3.03786,0.3896
1320000,1,-1.3852,-173.168,0.775686,3.07159,0.373667
1330000,2,-1.64904,-173.229,1.61704,3.08761,0.41
1340000,1,-0.061079,-177.681,1.25107,3.18498,0.397
1350000,2,2.59198,-176.391,0.457053,3.13844,0.3764
1360000,1,-2.01228,-178.247,0.909563,3.10665,0.363
1370000,1,-1.17222,-178.328,0.911522,3.28524,0.391
1380000,1,-0.1202,-174.253,1.15379,3.16705,0.374
1390000,1,0.153238,-180.049,0.772656,3.28283,0.365
1400000,3,1.80094,-183.404,2.31869,3.1406,0.398
1410000,2,-3.70763,-178.235,2.73769,3.01503,0.375
1420000,1,-1.46518,-176.458,1.04491,3.20761,0.365
1430000,1,-1.31544,-177.589,0.635968,3.16308,0.388143
1440000,1,-1.76935,-174.792,0.625569,3.11097,0.377
1450000,1,-2.37553,-178.155,1.54643,2.97025,0.387
1460000,1,0.999629,-175.951,0.284418,3.02452,0.37575
1470000,1,0.101219,-178.124,1.74057,3.07578,0.390333
1480000,1,0.956003,-179.358,0.215223,3.11262,0.388
1490000,1,-0.921339,-178.532,0.34486,3.235,0.406
1500000,0,0.845763,-185.086,0.0902886,3.10466,0.368
1510000,1,-0.518882,-175.215,1.13373,3.18115,0.385
1520000,1,0.555244,-176.477,0.445808,3.16721,0.3825
1530000,1,1.54666,-180.213,1.14099,3.2603,0.392714
1540000,1,1.23418,-179.573,0.452558,2.93779,0.372
1550000,2,-3.44365,-181.107,1.52132,2.94749,0.431
1560000,1,-4.34636,-173.147,1.87088,3.02734,0.394
1570000,2,-2.95922,-177.761,1.80773,3.34277,0.3872
1580000,1,-0.609451,-174.158,0.657809,2.9871,0.375714
1590000,1,0.152087,-174.273,0.957041,3.04443,0.458
1600000,1,-3.39094,-176.06,1.74041,2.9787,0.394556
